colony.label,r,cs,toa,line,experiment,time.point,treatment,Cluster,colony,strain
A.I.post.plus_8_1,2592.3810152766428,36907.50937332777,46.15761721771697,A,I,post,plus,1,8,A_plus_8
A.I.post.plus_9_1,2281.763290433838,31494.454018246288,46.80758634035485,A,I,post,plus,1,9,A_plus_9
A.I.post.plus_10_1,1098.3786073082806,14591.132529724904,47.65754596226593,A,I,post,plus,2,10,A_plus_10
A.I.post.plus_15_1,1601.0162829768187,19538.403256501406,49.597453805215906,A,I,post,plus,2,15,A_plus_15
A.I.post.plus_20_1,2271.210964937392,31842.631485783928,46.26761199231723,A,I,post,plus,1,20,A_plus_20
A.I.post.plus_21_1,728.1765579208452,8941.482122720554,50.047432428580585,A,I,post,plus,3,21,A_plus_21
A.I.post.plus_22_1,2581.3862459867337,37229.88323704984,46.41760486677212,A,I,post,plus,1,22,A_plus_22
A.I.post.plus_24_1,719.2420553841549,7791.044837498389,51.86734597196665,A,I,post,plus,3,24,A_plus_24
A.I.post.plus_25_1,2380.2875119495648,33279.23281585297,46.617595366045315,A,I,post,plus,1,25,A_plus_25
A.I.post.plus_26_1,1411.185288255437,20168.181111750946,45.41765237040615,A,I,post,plus,2,26,A_plus_26
A.I.post.plus_27_1,631.635557134607,7855.133020450049,49.0274808822873,A,I,post,plus,3,27,A_plus_27
A.I.post.plus_28_1,868.4709087378325,10581.222308761264,49.01748135732364,A,I,post,plus,2,28,A_plus_28
A.I.post.plus_29_1,2555.9551277320375,36149.741195593015,46.79758681539119,A,I,post,plus,1,29,A_plus_29
A.I.post.plus_30_1,1067.431812230741,14347.544101721194,46.737589665609235,A,I,post,plus,2,30,A_plus_30
A.I.post.plus_31_1,2587.8480073876967,36556.695084401974,46.847584440209495,A,I,post,plus,1,31,A_plus_31
A.I.post.plus_32_1,2440.244863602931,30062.82996463516,49.11747660696023,A,I,post,plus,1,32,A_plus_32
A.I.post.plus_34_1,870.1902263496593,10601.54777385359,49.2274713815605,A,I,post,plus,2,34,A_plus_34
A.I.post.plus_37_1,883.5072051805073,10230.140695071841,50.58740677661821,A,I,post,plus,3,37,A_plus_37
A.I.post.plus_38_1,2062.7035528746505,25934.815285533856,48.397510809576744,A,I,post,plus,2,38,A_plus_38
A.I.post.plus_42_1,593.5476277531126,8157.702296820664,45.847631943843524,A,I,post,plus,2,42,A_plus_42
A.I.post.plus_43_1,1745.0084105928256,25817.112067488113,44.767683247768275,A,I,post,plus,2,43,A_plus_43
A.I.post.plus_44_1,1745.608534269506,22218.919276028526,48.107524585630614,A,I,post,plus,2,44,A_plus_44
A.I.post.plus_45_1,2094.5075743527022,25647.67141132088,49.177473756742195,A,I,post,plus,2,45,A_plus_45
A.I.post.plus_46_1,1106.7247835614519,12976.355239612702,50.09743005339889,A,I,post,plus,2,46,A_plus_46
A.I.post.plus_49_1,1132.0102491321884,14331.795443039722,48.077526010739625,A,I,post,plus,2,49,A_plus_49
A.I.post.plus_52_1,1387.5369542051665,18730.31775630503,46.03762291815306,A,I,post,plus,2,52,A_plus_52
A.I.post.plus_54_1,1300.6675595160532,18037.944805479372,45.48764904515177,A,I,post,plus,2,54,A_plus_54
A.I.post.plus_57_1,1255.1239544927414,16636.319264352776,47.71754311204788,A,I,post,plus,2,57,A_plus_57
A.I.post.plus_61_1,2708.887512374531,40314.43695157706,43.92772315082086,A,I,post,plus,1,61,A_plus_61
A.I.post.plus_62_1,850.7387598137213,10529.487166084798,48.317514609867466,A,I,post,plus,2,62,A_plus_62
A.I.post.plus_63_1,938.4761644162572,10737.757836741368,50.57740725165455,A,I,post,plus,3,63,A_plus_63
A.I.post.plus_67_1,2609.421013802656,33930.59347868693,47.727542637011545,A,I,post,plus,1,67,A_plus_67
A.I.post.plus_68_1,1046.2129792483156,14076.30805375539,46.897582065027784,A,I,post,plus,2,68,A_plus_68
A.I.post.plus_69_1,1377.327895760126,15890.79332934771,50.52740962683626,A,I,post,plus,2,69,A_plus_69
A.I.post.plus_75_1,1602.1268095625892,19865.281499529,48.1575222104489,A,I,post,plus,2,75,A_plus_75
A.I.post.plus_76_1,2862.1807475745777,37135.74582962859,47.50755308781103,A,I,post,plus,1,76,A_plus_76
A.I.post.plus_77_1,1201.7070222576988,15782.042251528717,46.94757968984609,A,I,post,plus,2,77,A_plus_77
A.I.post.plus_78_1,1426.1034400040949,18786.399851871356,46.3976058168448,A,I,post,plus,2,78,A_plus_78
A.I.post.plus_79_1,1552.3494450932058,24275.694959512537,43.92772315082086,A,I,post,plus,2,79,A_plus_79
A.I.post.plus_80_1,3277.385193263914,42703.11181882621,47.67754501219324,A,I,post,plus,1,80,A_plus_80
A.I.post.plus_81_1,1205.456252534811,15869.802097648275,46.56759774122702,A,I,post,plus,2,81,A_plus_81
A.I.post.plus_82_1,2799.4176821640012,36866.385547742815,47.29756306357418,A,I,post,plus,1,82,A_plus_82
A.I.post.plus_84_1,730.3129672942579,8908.585071405361,48.54750368403164,A,I,post,plus,2,84,A_plus_84
A.I.post.plus_85_1,1057.483992188102,13667.420195051222,47.207567338901235,A,I,post,plus,2,85,A_plus_85
A.I.post.plus_88_1,733.6483306222515,9692.971131688535,46.9675787397734,A,I,post,plus,2,88,A_plus_88
A.I.post.plus_89_1,1356.4457994158668,15914.347363202482,50.13742815325352,A,I,post,plus,2,89,A_plus_89
A.I.post.plus_91_1,1104.717878412665,14703.995509755274,46.057621968080376,A,I,post,plus,2,91,A_plus_91
A.I.post.plus_94_1,1092.4878683210827,13529.065249414089,48.1575222104489,A,I,post,plus,2,94,A_plus_94
A.I.post.plus_95_1,1029.9942141700114,13352.320261943974,47.1175716142283,A,I,post,plus,2,95,A_plus_95
A.I.post.plus_96_1,1579.299741021229,21388.75405950227,45.28765854587858,A,I,post,plus,2,96,A_plus_96
