sample,time.point,percent.survival,isolate
mfs1-a-1,0,100,mfs1
mfs1-a-1,6,6.545454545454546,mfs1
mfs1-a-1,24,0.2181818181818182,mfs1
mfs1-a-1,30,0.909818181818182,mfs1
mfs1-a-1,48,0.037236363636363644,mfs1
mfs1-a-1,72,3.687272727272728,mfs1
mfs1-a-2,0,100,mfs1
mfs1-a-2,6,299.625468164794,mfs1
mfs1-a-2,24,1.240449438202247,mfs1
mfs1-a-2,30,4.935910112359551,mfs1
mfs1-a-2,48,0.0898876404494382,mfs1
mfs1-a-2,72,2.9213483146067416,mfs1
mfs1-a-3,0,100,mfs1
mfs1-a-3,6,4934.21052631579,mfs1
mfs1-a-3,24,13.989473684210527,mfs1
mfs1-a-3,30,0.5052631578947369,mfs1
mfs1-a-3,48,0.2231578947368421,mfs1
mfs1-a-3,72,0.5684210526315789,mfs1
mfs1-a-4,0,100,mfs1
mfs1-a-4,6,355.2631578947369,mfs1
mfs1-a-4,24,10.446315789473685,mfs1
mfs1-a-4,30,1.789473684210526,mfs1
mfs1-a-4,48,0.15189473684210528,mfs1
mfs1-a-4,72,7815.39907875859,mfs1
mfs1-b-1,0,100,mfs1
mfs1-b-1,6,1347.8260869565217,mfs1
mfs1-b-1,24,38.565217391304344,mfs1
mfs1-b-1,30,4.521739130434783,mfs1
mfs1-b-1,48,6.3768115942028984,mfs1
mfs1-b-1,72,20.652173913043477,mfs1
mfs1-b-2,0,100,mfs1
mfs1-b-2,6,262.45202234523646,mfs1
mfs1-b-2,24,0.5019697756609199,mfs1
mfs1-b-2,30,1.2393549776420962,mfs1
mfs1-b-2,48,0.0714946227024562,mfs1
mfs1-b-2,72,0.14040510241566698,mfs1
mfs1-b-3,0,100,mfs1
mfs1-b-3,6,1464.2857142857142,mfs1
mfs1-b-3,24,0.0982857142857143,mfs1
mfs1-b-3,30,0.13866666666666666,mfs1
mfs1-b-3,48,0.024685714285714283,mfs1
mfs1-b-3,72,0.6171428571428572,mfs1
mfs1-b-4,0,100,mfs1
mfs1-b-4,6,173.78048780487805,mfs1
mfs1-b-4,24,3.3414634146341458,mfs1
mfs1-b-4,30,4.292682926829268,mfs1
mfs1-b-4,48,1.9865853658536585,mfs1
mfs1-b-4,72,2.5853658536585367,mfs1
mfs1-c-1,0,100,mfs1
mfs1-c-1,6,948.5294117647059,mfs1
mfs1-c-1,24,2.941176470588235,mfs1
mfs1-c-1,30,2.450980392156863,mfs1
mfs1-c-1,48,0.7333333333333334,mfs1
mfs1-c-1,72,1.588235294117647,mfs1
mfs1-c-2,0,100,mfs1
mfs1-c-2,6,7.406365728417655,mfs1
mfs1-c-2,24,0.028745163444235833,mfs1
mfs1-c-2,30,0.011709111532546005,mfs1
mfs1-c-2,48,0.004570785706680609,mfs1
mfs1-c-2,72,0.005642945316889642,mfs1
mfs1-c-3,0,100,mfs1
mfs1-c-3,6,4583.333333333334,mfs1
mfs1-c-3,24,2.8400000000000003,mfs1
mfs1-c-3,30,1.911111111111111,mfs1
mfs1-c-3,48,0.22200000000000003,mfs1
mfs1-c-3,72,1.093333333333333,mfs1
mfs1-c-4,0,100,mfs1
mfs1-c-4,6,187.69230769230768,mfs1
mfs1-c-4,24,44.12307692307692,mfs1
mfs1-c-4,30,18.461538461538463,mfs1
mfs1-c-4,48,6,mfs1
mfs1-c-4,72,0.5353846153846155,mfs1
ntaA-a-1,0,100,ntaA
ntaA-a-1,6,1354.1666666666665,ntaA
ntaA-a-1,24,25.11111111111111,ntaA
ntaA-a-1,30,13.111111111111112,ntaA
ntaA-a-1,48,1,ntaA
ntaA-a-1,72,15.333333333333332,ntaA
ntaA-a-2,0,100,ntaA
ntaA-a-2,6,9090.90909090909,ntaA
ntaA-a-2,24,10.84848484848485,ntaA
ntaA-a-2,30,8.80808080808081,ntaA
ntaA-a-2,48,2.0606060606060606,ntaA
ntaA-a-2,72,2178.082788671024,ntaA
ntaA-a-3,0,100,ntaA
ntaA-a-3,6,257.96178343949043,ntaA
ntaA-a-3,24,0.11821656050955413,ntaA
ntaA-a-3,30,0.6878980891719745,ntaA
ntaA-a-3,48,0.038216560509554146,ntaA
ntaA-a-3,72,0.1212738853503185,ntaA
ntaA-a-4,0,100,ntaA
ntaA-a-4,6,156.25,ntaA
ntaA-a-4,24,0.4475,ntaA
ntaA-a-4,30,0.6277777777777777,ntaA
ntaA-a-4,48,0.02444444444444445,ntaA
ntaA-a-4,72,1.7041666666666666,ntaA
ntaA-b-1,0,100,ntaA
ntaA-b-1,6,185.71428571428572,ntaA
ntaA-b-1,24,0.3085714285714286,ntaA
ntaA-b-1,30,0.2285714285714286,ntaA
ntaA-b-1,48,14.014285714285716,ntaA
ntaA-b-1,72,8.942857142857143,ntaA
ntaA-b-2,0,100,ntaA
ntaA-b-2,6,2390.1098901098903,ntaA
ntaA-b-2,24,15.230769230769232,ntaA
ntaA-b-2,30,1.969230769230769,ntaA
ntaA-b-2,48,0.7999999999999998,ntaA
ntaA-b-2,72,4.263736263736264,ntaA
ntaA-b-3,0,100,ntaA
ntaA-b-3,6,1426.6666666666667,ntaA
ntaA-b-3,24,0.0672,ntaA
ntaA-b-3,30,0.48,ntaA
ntaA-b-3,48,0.13866666666666666,ntaA
ntaA-b-3,72,0.6826666666666666,ntaA
ntaA-b-4,0,100,ntaA
ntaA-b-4,6,1170.212765957447,ntaA
ntaA-b-4,24,5.50468085106383,ntaA
ntaA-b-4,30,0.8340425531914892,ntaA
ntaA-b-4,48,0.14184397163120566,ntaA
ntaA-b-4,72,1.9290780141843975,ntaA
ntaA-c-1,0,100,ntaA
ntaA-c-1,6,8.75320468124819,ntaA
ntaA-c-1,24,0.39024704203898186,ntaA
ntaA-c-1,30,0.703903543117042,ntaA
ntaA-c-1,48,0.06564903510936143,ntaA
ntaA-c-1,72,0.07367280606717226,ntaA
ntaA-c-2,0,100,ntaA
ntaA-c-2,6,3947.3684210526317,ntaA
ntaA-c-2,24,27.50877192982456,ntaA
ntaA-c-2,30,2.301754385964912,ntaA
ntaA-c-2,48,4.575438596491228,ntaA
ntaA-c-2,72,8.126315789473685,ntaA
ntaA-c-3,0,100,ntaA
ntaA-c-3,6,464.28571428571433,ntaA
ntaA-c-3,24,0.8761904761904762,ntaA
ntaA-c-3,30,0.6171428571428572,ntaA
ntaA-c-3,48,0.03428571428571429,ntaA
ntaA-c-3,72,4.331428571428572,ntaA
ntaA-c-4,0,100,ntaA
ntaA-c-4,6,787.5,ntaA
ntaA-c-4,24,0.22,ntaA
ntaA-c-4,30,0.6666666666666666,ntaA
ntaA-c-4,48,0.019200000000000002,ntaA
ntaA-c-4,72,0.9399999999999998,ntaA
ohrR-a-1,0,100,ohrR
ohrR-a-1,6,0.2794956335769025,ohrR
ohrR-a-1,24,1.0917798186597754,ohrR
ohrR-a-1,30,0.006148903938691855,ohrR
ohrR-a-1,48,0.002026343343432543,ohrR
ohrR-a-1,72,4.938604136963108,ohrR
ohrR-a-2,0,100,ohrR
ohrR-a-2,6,10901.162790697674,ohrR
ohrR-a-2,24,14898.255813953489,ohrR
ohrR-a-2,30,372.81976744186045,ohrR
ohrR-a-2,48,416.3953488372093,ohrR
ohrR-a-2,72,37118.72286729024,ohrR
ohrR-a-3,0,100,ohrR
ohrR-a-3,6,116.21621621621621,ohrR
ohrR-a-3,24,8.128378378378379,ohrR
ohrR-a-3,30,11.047297297297296,ohrR
ohrR-a-3,48,6.9324324324324325,ohrR
ohrR-a-3,72,62.83783783783784,ohrR
ohrR-a-4,0,100,ohrR
ohrR-a-4,6,3052.3255813953488,ohrR
