time,growth,spot,plate,colony,lineage,experiment,time.point,treatment,iteration,colony.label
0,0,A.I.pre.minus_1,A.I.pre.minus,1,A,I,pre,minus,2,A.I.pre.minus_1_2
0,0,A.I.pre.minus_3,A.I.pre.minus,3,A,I,pre,minus,2,A.I.pre.minus_3_2
0,0,A.I.pre.minus_5,A.I.pre.minus,5,A,I,pre,minus,2,A.I.pre.minus_5_2
0,0,A.I.pre.minus_6,A.I.pre.minus,6,A,I,pre,minus,2,A.I.pre.minus_6_2
0,0,A.I.pre.minus_7,A.I.pre.minus,7,A,I,pre,minus,2,A.I.pre.minus_7_2
0,0,A.I.pre.minus_8,A.I.pre.minus,8,A,I,pre,minus,2,A.I.pre.minus_8_2
0,0,A.I.pre.minus_9,A.I.pre.minus,9,A,I,pre,minus,2,A.I.pre.minus_9_2
0,0,A.I.pre.minus_10,A.I.pre.minus,10,A,I,pre,minus,2,A.I.pre.minus_10_2
0,0,A.I.pre.minus_11,A.I.pre.minus,11,A,I,pre,minus,2,A.I.pre.minus_11_2
0,0,A.I.pre.minus_12,A.I.pre.minus,12,A,I,pre,minus,2,A.I.pre.minus_12_2
0,0,A.I.pre.minus_13,A.I.pre.minus,13,A,I,pre,minus,2,A.I.pre.minus_13_2
0,0,A.I.pre.minus_14,A.I.pre.minus,14,A,I,pre,minus,2,A.I.pre.minus_14_2
0,0,A.I.pre.minus_15,A.I.pre.minus,15,A,I,pre,minus,2,A.I.pre.minus_15_2
0,0,A.I.pre.minus_16,A.I.pre.minus,16,A,I,pre,minus,2,A.I.pre.minus_16_2
0,0,A.I.pre.minus_17,A.I.pre.minus,17,A,I,pre,minus,2,A.I.pre.minus_17_2
0,0,A.I.pre.minus_18,A.I.pre.minus,18,A,I,pre,minus,2,A.I.pre.minus_18_2
0,0,A.I.pre.minus_19,A.I.pre.minus,19,A,I,pre,minus,2,A.I.pre.minus_19_2
0,0,A.I.pre.minus_20,A.I.pre.minus,20,A,I,pre,minus,2,A.I.pre.minus_20_2
0,0,A.I.pre.minus_21,A.I.pre.minus,21,A,I,pre,minus,2,A.I.pre.minus_21_2
0,0,A.I.pre.minus_22,A.I.pre.minus,22,A,I,pre,minus,2,A.I.pre.minus_22_2
0,0,A.I.pre.minus_23,A.I.pre.minus,23,A,I,pre,minus,2,A.I.pre.minus_23_2
