background,strain,rep,isolate,sample,assay,ic50,fitness,auc,ic50.fc,ic50.log2.fc
wt,anc,a,wt-anc,wt-anc-a,1,2.5999999999999996,1.0025991516833412,33.94520062588905,0.8482871125611746,-0.23737545066232688
wt,s1,a,wt-s1,wt-s1-a,1,307.07,0.8118803513892864,27.487995941204368,117.09056244041946,6.871480988337173
wt,s2,a,wt-s2,wt-s2-a,1,189.54,0.6589942527270938,22.311700625889046,72.274547187797907,6.175415759890762
wt,s3,a,wt-s3,wt-s3-a,1,64.69000000000001,0.7816947488850282,26.465995941204362,24.667302192564357,4.624528034836839
wt,anc,b,wt-anc,wt-anc-b,1,2.6599999999999997,0.9311963199279171,31.527700625889054,0.867862969004894,-0.20446082818959183
ohrR,anc,a,ohrR-anc,ohrR-anc-a,1,8.81,1.007103363407313,34.09770062588905,3.0537261698440212,1.6105707002749314
wt,L1,a,wt-L1,wt-L1-a,1,105.11000000000001,0.8378926816588848,28.368700625889048,40.080076263107735,5.324813348537815
wt,L2,a,wt-L2,wt-L2-a,1,257.81,0.6121061470759103,20.724200625889043,98.30695900857961,6.619221641380075
wt,L3,a,wt-L3,wt-L3-a,1,172.65,0.7993041399056433,27.062200625889055,65.83412774070544,6.040763751163482
wt,L4,a,wt-L4,wt-L4-a,1,84.24000000000001,0.8721542265756549,29.528700625889044,32.12202097235463,5.00549075844845
wt,L5,a,wt-L5,wt-L5-a,1,29.450000000000003,0.6482875199406031,21.949200625889045,11.229742612011442,3.4892529561405556
ohrR,anc,b,ohrR-anc,ohrR-anc-b,1,7.72,0.9908586653864307,33.54770062588905,2.6759098786828424,1.420029528622598
ohrR,s1,a,ohrR-s1,ohrR-s1-a,1,346.39,0.9140360116549484,30.94670062588905,132.0838894184938,7.04531069819544
ohrR,s2,a,ohrR-s2,ohrR-s2-a,1,374.29,0.8770867076110868,29.695700625889053,142.72259294566257,7.157069920878955
ohrR,s3,a,ohrR-s3,ohrR-s3-a,1,292.28,0.878504426711091,29.74370062588905,111.4509056244042,6.800264529427827
ohrR,s4,a,ohrR-s4,ohrR-s4-a,1,346.58,0.8791099109100511,29.76420062588905,132.1563393708294,7.046101820652798
ohrR,s5,a,ohrR-s5,ohrR-s5-a,1,362.9,0.9029748490934566,30.57220062588905,138.37940896091516,7.1124854737894285
ohrR,L1,a,ohrR-L1,ohrR-L1-a,1,402.33,0.9171520400934994,31.052200625889046,153.41468064823644,7.261292734447418
ohrR,L2,a,ohrR-L2,ohrR-L2-a,1,353.79,0.9493608458967221,32.142700625889056,134.9056244041945,7.075806687289139
ohrR,L3,a,ohrR-L3,ohrR-L3-a,1,364.68,0.6279225757853333,21.25970062588905,139.0581506196378,7.119544497666183
ohrR,L4,a,ohrR-L4,ohrR-L4-a,1,9.82,0.77563118451703,26.26070062588905,3.744518589132508,1.9047802517374257
ohrR,L5,a,ohrR-L5,ohrR-L5-a,1,549.1,0.939776474064401,31.81820062588904,209.38036224976173,7.70998232825436
wt,anc,c,wt-anc,wt-anc-c,1,2.6799999999999997,1.1118078261055464,37.64270062588905,0.9981378026070764,-0.0026890875276400893
wt,s1,b,wt-s1,wt-s1-b,1,240.29999999999998,0.9001394108934481,30.47620062588905,91.63012392755006,6.517750065439961
wt,s2,b,wt-s2,wt-s2-b,1,295.46999999999997,0.6279756018856051,21.261495941204362,112.66730219256435,6.8159250734380254
wt,s3,b,wt-s3,wt-s3-b,1,63.54,0.8273779316671863,28.01270062588905,24.22878932316492,4.598650412136225
wt,anc,d,wt-anc,wt-anc-d,1,2.55,0.9543967022831953,32.313200625889046,0.9497206703910616,-0.07442484112655451
ohrR,anc,c,ohrR-anc,ohrR-anc-c,1,9.55,1.0058480912875174,34.05520062588904,3.6415633937082945,1.8645579603458438
wt,L1,b,wt-L1,wt-L1-b,1,262.23,0.7656333112805412,25.922200625889047,99.99237368922786,6.643746161171797
wt,L2,b,wt-L2,wt-L2-b,1,1148.29,0.5302033332360794,17.951200625889047,437.86081982840807,8.774328551718437
wt,L3,b,wt-L3,wt-L3-b,1,493.17,0.7468633011127762,25.286700625889047,188.05338417540517,7.5549984588710695
wt,L4,b,wt-L4,wt-L4-b,1,235.37,0.8037788158150317,27.21370062588905,89.75023832221164,6.487843864751367
wt,L5,b,wt-L5,wt-L5-b,1,121.87,0.5302181011433711,17.951700625889046,46.470924690181135,5.538256447131438
ohrR,anc,d,ohrR-anc,ohrR-anc-d,1,8.89,1.0081223490104412,34.13220062588905,3.3898951382268834,1.7612406462525025
ohrR,s1,b,ohrR-s1,ohrR-s1-b,1,598.79,0.8537534140901827,28.905700625889047,228.32793136320308,7.834963545063776
ohrR,s2,b,ohrR-s2,ohrR-s2-b,1,760.29,0.858797992855053,29.07649594120436,289.9103908484271,8.179463232580193
ohrR,s3,b,ohrR-s3,ohrR-s3-b,1,1443.08,0.6658022579885727,22.54220062588905,550.2688274547188,9.103992792564654
ohrR,s4,b,ohrR-s4,ohrR-s4-b,1,979,0.7276502537262598,24.63620062588905,373.3079122974262,8.544222276801152
ohrR,s5,b,ohrR-s5,ohrR-s5-b,1,606.88,0.7870172410389391,26.64620062588904,231.4127740705434,7.85432469371697
ohrR,L1,b,ohrR-L1,ohrR-L1-b,1,592.63,0.8026269190462781,27.17470062588905,225.9790276453766,7.820045076946252
ohrR,L2,b,ohrR-L2,ohrR-L2-b,1,564.08,0.851331477294342,28.823700625889046,215.09246901811252,7.748813202678771
ohrR,L3,b,ohrR-L3,ohrR-L3-b,1,2000,0.4052903278338901,13.72199594120436,762.6310772163966,9.574841511859544
ohrR,L4,b,ohrR-L4,ohrR-L4-b,1,2000,0.5521927471934375,18.695700625889046,762.6310772163966,9.574841511859544
ohrR,L5,b,ohrR-L5,ohrR-L5-b,1,515.84,0.9449304737092086,31.992700625889054,196.69780743565303,7.6198370659507
wt,anc,a,wt-anc,wt-anc-a,2,2.8299999999999996,0.9905570124986893,29.16123247368421,0.9233278955954324,-0.11508502085889906
wt,s4,a,wt-s4,wt-s4-a,2,23.150000000000002,0.8401453851294955,24.73323047368421,8.024263431542462,3.0043689695021163
wt,s5,a,wt-s5,wt-s5-a,2,54.29,0.822855885484095,24.224240973684207,18.818024263431543,4.234043259883801
wt,s6,a,wt-s6,wt-s6-a,2,4.3,0.9702951012196096,28.564737473684207,1.490467937608319,0.5757653409439779
wt,s7,a,wt-s7,wt-s7-a,2,5.52,0.8608663947445082,25.343240973684207,1.9133448873483536,0.9360969481326866
wt,s8,a,wt-s8,wt-s8-a,2,47.44,0.7829939858827751,23.05073747368421,16.44367417677643,4.039460785900521
wt,s9,a,wt-s9,wt-s9-a,2,77.12,0.8322312506249857,24.500244473684212,26.731369150779898,4.740461827584479
wt,L6,a,wt-L6,wt-L6-a,2,37.92,0.9085749848234064,26.747744973684203,13.143847487001734,3.7163157402527767
wt,L7,a,wt-L7,wt-L7-a,2,133.85999999999999,0.6731066905959935,19.81574047368421,46.39861351819757,5.536009790319814
wt,L8,a,wt-L8,wt-L8-a,2,147.2,0.6348583184302222,18.689737973684217,51.02253032928943,5.673062542298893
wt,L9,a,wt-L9,wt-L9-a,2,110.22000000000001,0.5997351812056925,17.655739973684213,38.20450606585789,5.255670903187023
ohrR,anc,a,ohrR-anc,ohrR-anc-a,2,7.65,1.1083251703562715,32.628235973684205,2.6516464471403816,1.4068884289345318
ohrR,s6,a,ohrR-s6,ohrR-s6-a,2,458.17,0.9588137364686777,28.22673497368421,158.81109185441943,7.311167868027208
ohrR,s9,a,ohrR-s9,ohrR-s9-a,2,555.3100000000001,0.99374975940343,29.255224473684212,192.4818024263432,7.58857824706143
ohrR,s8,a,ohrR-s8,ohrR-s8-a,2,436.14,0.9549921007628226,28.114228973684213,151.17504332755632,7.240076182248177
ohrR,s7,a,ohrR-s7,ohrR-s7-a,2,425.62,0.9837123694008497,28.959731473684208,147.52859618717505,7.204850815969763
ohrR,s10,a,ohrR-s10,ohrR-s10-a,2,498.4,0.9819968352098862,28.909227473684204,172.75563258232236,7.432588939265882
ohrR,L6,a,ohrR-L6,ohrR-L6-a,2,527.68,0.9673226216493634,28.47722997368421,182.90467937608318,7.514948174791985
ohrR,L7,a,ohrR-L7,ohrR-L7-a,2,504.54,1.0137910976334634,29.845225973684208,174.88388214904683,7.450253521829324
ohrR,L8,a,ohrR-L8,ohrR-L8-a,2,598.73,0.9590517861995955,28.23374297368421,207.53206239168114,7.697190430716909
ohrR,L9,a,ohrR-L9,ohrR-L9-a,2,696.28,0.9680358706826034,28.498227473684214,241.34488734835355,7.91495245481992
ohrR,L10,a,ohrR-L10,ohrR-L10-a,2,844.66,1.0529231037426179,30.9972419736842,292.7764298093588,8.19365560280277
wt,anc,b,wt-anc,wt-anc-b,2,2.94,1.0094429875013107,29.717220973684213,0.9592169657422513,-0.06007091885441692
wt,s4,b,wt-s4,wt-s4-b,2,26.87,0.8627342257346396,25.39822847368421,9.31369150779896,3.2193530973676836
wt,s5,b,wt-s5,wt-s5-b,2,169.79999999999998,0.7943395963886138,23.38474347368421,58.856152512998264,5.879121329794918
wt,s6,b,wt-s6,wt-s6-b,2,5.31,0.9680532964120502,28.49874047368422,1.8405545927209706,0.8801405421586711
wt,s7,b,wt-s7,wt-s7-b,2,7.4799999999999995,0.8360695817421917,24.61324197368421,2.5927209705372616,1.3744669512421541
wt,s8,b,wt-s8,wt-s8-b,2,215.45,0.7052236686971652,20.761239473684206,74.67937608318891,6.222637969352262
wt,s9,b,wt-s9,wt-s9-b,2,389.26,0.6899549252543096,20.311739473684213,134.9254766031196,7.076018973188613
wt,L6,b,wt-L6,wt-L6-b,2,138.03,0.8446127918733757,24.86474747368421,47.84402079722704,5.580266733178918
wt,L7,b,wt-L7,wt-L7-b,2,699.05,0.6715103001594817,19.768743973684217,242.3050259965338,7.920680519884136
wt,L8,b,wt-L8,wt-L8-b,2,682.57,0.6601478753532997,19.434242973684213,236.5927209705373,7.886261878070979
wt,L9,b,wt-L9,wt-L9-b,2,462.44,0.5974424749252756,17.588244473684206,160.29116117850955,7.324551063953994
ohrR,anc,b,ohrR-anc,ohrR-anc-b,2,9.8,1.1163586524249338,32.864735473684206,3.3968804159445414,1.7642104303570885
ohrR,s6,b,ohrR-s6,ohrR-s6-b,2,673.59,0.9525638270628723,28.042742473684218,233.48006932409015,7.867155591467572
ohrR,s9,b,ohrR-s9,ohrR-s9-b,2,1276.01,1.0376202051906815,30.54673647368421,442.2911611785096,8.788852601237275
ohrR,s8,b,ohrR-s8,ohrR-s8-b,2,570.0600000000001,0.957081625755356,28.17574297368421,197.59445407279034,7.62639864482502
ohrR,s7,b,ohrR-s7,ohrR-s7-b,2,792.47,0.9944297704712444,29.275243473684213,274.6863084922011,8.101641192060816
ohrR,s10,b,ohrR-s10,ohrR-s10-b,2,667.13,0.9660319967169688,28.439234973684208,231.24090121317158,7.853252789856059
ohrR,L6,b,ohrR-L6,ohrR-L6-b,2,2000,0.9873130074541151,29.065731473684213,693.2409012131716,9.437212965791328
ohrR,L7,b,ohrR-L7,ohrR-L7-b,2,1476.43,0.980128749457629,28.854232473684217,511.76083188908154,8.999325923315114
ohrR,L8,b,ohrR-L8,ohrR-L8-b,2,686.0600000000001,0.936361210585305,27.56574997368421,237.80242634315428,7.893619625023887
ohrR,L9,b,ohrR-L9,ohrR-L9-b,2,752.86,0.975967770599395,28.73173647368421,260.9566724436742,8.027666480709321
ohrR,L10,b,ohrR-L10,ohrR-L10-b,2,701.01,1.0839868952132097,31.911735973684202,242.9844020797227,7.9247198955214735
wt,anc,a,wt-anc,wt-anc-a,3,2.79,1.0339490928750683,29.717313245614037,0.9102773246329529,-0.13562195186159368
wt,s10,a,wt-s10,wt-s10-a,3,25.680000000000003,0.7329564180483034,21.066313245614033,8.61744966442953,3.107260966660142
