name,concentration,mutants
wt-1,250,30
wt-2,250,35
wt-3,250,60
wt-4,250,32
wt-5,250,26
wt-6,250,57
wt-7,500,31
wt-8,500,39
wt-9,500,41
wt-10,500,29
wt-11,500,41
wt-12,500,38
fas-1,250,32
fas-2,250,54
fas-3,250,41
fas-4,250,36
fas-5,250,34
fas-6,250,59
fas-7,500,54
fas-8,500,28
fas-9,500,49
fas-10,500,22
fas-11,500,31
fas-12,500,19
ohrR-1,250,340
ohrR-2,250,411
ohrR-3,250,398
ohrR-4,250,347
ohrR-5,250,424
ohrR-6,250,403
ohrR-7,500,372
ohrR-8,500,422
ohrR-9,500,319
ohrR-10,500,366
ohrR-11,500,340
ohrR-12,500,401
