name,cfus,cfus.per.ml,concentration,mutants,mutants.per.ml,mutant.proportion,strain,concentration.label,experiment
fas-10,2500000,625000000,500,22,220,3.52e-7,fas,500 µg/mL isoniazid,1
fas-11,3099999.9999999995,774999999.9999999,500,31,310,4.000000000000001e-7,fas,500 µg/mL isoniazid,1
fas-12,2500000,625000000,500,19,190,3.04e-7,fas,500 µg/mL isoniazid,1
fas-7,2600000,650000000,500,54,540,8.307692307692308e-7,fas,500 µg/mL isoniazid,1
fas-8,1100000,275000000,500,28,280,1.0181818181818181e-6,fas,500 µg/mL isoniazid,1
fas-9,2600000,650000000,500,49,490,7.538461538461538e-7,fas,500 µg/mL isoniazid,1
ohrR-10,4300000,1075000000,500,366,3660,3.4046511627906975e-6,ohrR,500 µg/mL isoniazid,1
ohrR-11,2500000,625000000,500,340,3400,5.44e-6,ohrR,500 µg/mL isoniazid,1
ohrR-12,5100000,1275000000,500,401,4010,3.1450980392156863e-6,ohrR,500 µg/mL isoniazid,1
ohrR-7,2999999.9999999995,749999999.9999999,500,372,3720,4.960000000000001e-6,ohrR,500 µg/mL isoniazid,1
ohrR-8,4800000,1200000000,500,422,4220,3.5166666666666667e-6,ohrR,500 µg/mL isoniazid,1
ohrR-9,5600000,1400000000,500,319,3190,2.2785714285714285e-6,ohrR,500 µg/mL isoniazid,1
wt-10,1799999.9999999998,449999999.99999994,500,29,290,6.444444444444445e-7,wt,500 µg/mL isoniazid,1
wt-11,999999.9999999999,249999999.99999997,500,41,410,1.6400000000000002e-6,wt,500 µg/mL isoniazid,1
wt-12,2200000,550000000,500,38,380,6.909090909090909e-7,wt,500 µg/mL isoniazid,1
wt-7,2500000,625000000,500,31,310,4.96e-7,wt,500 µg/mL isoniazid,1
wt-8,1999999.9999999998,499999999.99999994,500,39,390,7.8e-7,wt,500 µg/mL isoniazid,1
wt-9,1300000,325000000,500,41,410,1.2615384615384616e-6,wt,500 µg/mL isoniazid,1
fas-1,1499999.9999999998,374999999.99999994,500,39,390,1.0400000000000002e-6,fas,500 µg/mL isoniazid,2
fas-10,1650000,412500000,500,73,730,1.7696969696969697e-6,fas,500 µg/mL isoniazid,2
fas-11,1300000,325000000,500,39,390,1.2e-6,fas,500 µg/mL isoniazid,2
fas-12,1500000,375000000,500,76,760,2.0266666666666666e-6,fas,500 µg/mL isoniazid,2
fas-2,1500000,375000000,500,58,580,1.5466666666666668e-6,fas,500 µg/mL isoniazid,2
fas-3,1400000,350000000,500,72,720,2.0571428571428573e-6,fas,500 µg/mL isoniazid,2
fas-4,1550000,387500000,500,11,110,2.838709677419355e-7,fas,500 µg/mL isoniazid,2
fas-5,1350000,337500000,500,19,190,5.629629629629629e-7,fas,500 µg/mL isoniazid,2
fas-6,1150000,287500000,500,33,330,1.1478260869565217e-6,fas,500 µg/mL isoniazid,2
fas-7,1300000,325000000,500,18,180,5.538461538461539e-7,fas,500 µg/mL isoniazid,2
fas-8,1699999.9999999998,424999999.99999994,500,22,220,5.176470588235295e-7,fas,500 µg/mL isoniazid,2
fas-9,1349999.9999999998,337499999.99999994,500,38,380,1.125925925925926e-6,fas,500 µg/mL isoniazid,2
ohrR-1,700000,175000000,500,141,1410,8.057142857142857e-6,ohrR,500 µg/mL isoniazid,2
ohrR-10,1100000,275000000,500,241,2410,8.763636363636364e-6,ohrR,500 µg/mL isoniazid,2
ohrR-11,799999.9999999999,199999999.99999997,500,72,720,3.6000000000000007e-6,ohrR,500 µg/mL isoniazid,2
ohrR-12,1000000,250000000,500,265,2650,1.06e-5,ohrR,500 µg/mL isoniazid,2
