strain,replicate,nad.total,nadh.total,ratio,treatment
wt-anc,a,12.89077828646174,1.6429423306274764,0.12745098039215683,plus INH
wt-anc,c,8.046204747432002,1.862001308044473,0.23141361256544493,plus INH
wt-L2,a,6.672873465933134,3.656599853806793,0.547979797979798,plus INH
wt-L2,b,5.4259223637133065,3.269033970684414,0.6024844720496894,plus INH
wt-L2,c,4.650790597468548,3.201631208402261,0.6884057971014492,plus INH
ohrR-anc,a,13.691186088562304,2.005232177894048,0.14646153846153842,plus INH
ohrR-anc,b,11.54272304081868,2.2327165005963137,0.19343065693430653,plus INH
ohrR-anc,c,12.351556188204514,3.4122648405339895,0.27626193724420195,plus INH
ohrR-L10,a,11.500596314392332,2.2832685723079282,0.19853479853479852,plus INH
ohrR-L10,b,11.273111991690069,2.5360289308660016,0.22496263079222717,plus INH
ohrR-L10,c,11.011926287846727,3.0499749932674174,0.2769701606732976,plus INH
