plate,strain,replicate,isoniazid,cfus,rfus,exp,rep.label,rfus.per.cfu,inh.label,fc
1,nb-wt,b,0,8000000,48211.5,1,nb-wt-b,0.0060264375,"0 µg/mL
isoniazid",0.9698649151570624
1,nb-wt,c,0,8000000,47824.5,1,nb-wt-c,0.0059780625,"0 µg/mL
isoniazid",0.9620796829579858
1,ohrR-anc,a,0,8000000,38539.5,1,ohrR-anc-a,0.0048174375,"0 µg/mL
isoniazid",0.7752944608173487
1,ohrR-anc,b,0,8000000,41075.5,1,ohrR-anc-b,0.0051344375,"0 µg/mL
isoniazid",0.82631086613222815
1,ohrR-s5,a,0,8000000,38464.5,1,ohrR-s5-a,0.0048080625,"0 µg/mL
isoniazid",0.7737856948872951
1,ohrR-s5,b,0,8000000,33514.5,1,ohrR-s5-b,0.0041893125,"0 µg/mL
isoniazid",0.6742071435037569
1,ohrR-s5,c,0,8000000,30641.5,1,ohrR-s5-c,0.0038301875,"0 µg/mL
isoniazid",0.6164113499431697
1,ohrR-L10,a,0,8000000,38862.5,1,ohrR-L10-a,0.0048578125,"0 µg/mL
isoniazid",0.781792212756113
1,ohrR-L10,b,0,8000000,34813.5,1,ohrR-L10-b,0.0043516875,"0 µg/mL
isoniazid",0.7003389694122852
1,ohrR-L10,c,0,8000000,37984.5,1,ohrR-L10-c,0.0047480625,"0 µg/mL
isoniazid",0.764129592934952
2,nb-wt,b,0,8000000,52227.5,1,nb-wt-b,0.0065284375,"0 µg/mL
isoniazid",1.0506543014916665
2,nb-wt,c,0,8000000,50574.5,1,nb-wt-c,0.0063218125,"0 µg/mL
isoniazid",1.017401100393285
2,ohrR-anc,a,0,8000000,40807.5,1,ohrR-anc-a,0.0051009375,"0 µg/mL
isoniazid",0.8209195425421699
2,ohrR-anc,b,0,8000000,44421.5,1,ohrR-anc-b,0.0055526875,"0 µg/mL
isoniazid",0.8936219434916867
2,ohrR-s5,a,0,8000000,40751.5,1,ohrR-s5-a,0.0050939375,"0 µg/mL
isoniazid",0.8197929973143967
2,ohrR-s5,b,0,8000000,36672.5,1,ohrR-s5-b,0.0045840625,"0 µg/mL
isoniazid",0.7377362475985474
2,ohrR-s5,c,0,8000000,35305.5,1,ohrR-s5-c,0.0044131875,"0 µg/mL
isoniazid",0.7102364739134369
2,ohrR-L10,a,0,8000000,42833.5,1,ohrR-L10-a,0.0053541875,"0 µg/mL
isoniazid",0.8616763395326847
2,ohrR-L10,b,0,8000000,38614.5,1,ohrR-L10-b,0.0048268125,"0 µg/mL
isoniazid",0.7768032267474024
2,ohrR-L10,c,0,8000000,40353.5,1,ohrR-L10-c,0.0050441875,"0 µg/mL
isoniazid",0.8117864794455788
1,nb-wt,b,1,8000000,48232.5,1,nb-wt-b,0.0060290625,"1 µg/mL
isoniazid",0.9677322271434518
1,nb-wt,c,1,8000000,48028.5,1,nb-wt-c,0.0060035625,"1 µg/mL
isoniazid",0.9636391908227705
1,ohrR-anc,a,1,8000000,39140.5,1,ohrR-anc-a,0.0048925625,"1 µg/mL
isoniazid",0.7853112162236724
1,ohrR-anc,b,1,8000000,41484.5,1,ohrR-anc-b,0.0051855625,"1 µg/mL
isoniazid",0.8323410061044426
1,ohrR-s5,a,1,8000000,39517.5,1,ohrR-s5-a,0.0049396875,"1 µg/mL
isoniazid",0.7928753078555197
1,ohrR-s5,b,1,8000000,34681.5,1,ohrR-s5-b,0.0043351875,"1 µg/mL
isoniazid",0.695846270371132
1,ohrR-s5,c,1,8000000,34918.5,1,ohrR-s5-c,0.0043648125,"1 µg/mL
isoniazid",0.7006014155083942
1,ohrR-L10,a,1,8000000,40241.5,1,ohrR-L10-a,0.0050301875,"1 µg/mL
isoniazid",0.8074015740132321
1,ohrR-L10,b,1,8000000,32083.5,1,ohrR-L10-b,0.0040104375,"1 µg/mL
isoniazid",0.6437202489930428
1,ohrR-L10,c,1,8000000,39701.5,1,ohrR-L10-c,0.0049626875,"1 µg/mL
isoniazid",0.7965670661055462
2,nb-wt,b,1,8000000,52088.5,1,nb-wt-b,0.0065110625,"1 µg/mL
isoniazid",1.0450986391657429
2,nb-wt,c,1,8000000,51013.5,1,nb-wt-c,0.0063766875,"1 µg/mL
isoniazid",1.0235299428680347
2,ohrR-anc,a,1,8000000,40949.5,1,ohrR-anc-a,0.0051186875,"1 µg/mL
isoniazid",0.8216068177144203
2,ohrR-anc,b,1,8000000,44687.5,1,ohrR-anc-b,0.0055859375,"1 µg/mL
isoniazid",0.8966056891198466
2,ohrR-s5,a,1,8000000,41169.5,1,ohrR-s5-a,0.0051461875,"1 µg/mL
isoniazid",0.8260208764916257
