sample,dilution,cfus,strain,treatment,bio.rep,tech.rep,cfus.total,cfus.per.ml,e.cfus.per.ml,concentration,mutants,mutants.per.ml,mutant.proportion,e.mutant.proportion
wt-minus-1-a,3.2e-6,10,wt,minus,1,a,3125000,781250000,81298567.00448373,500,17,170,2.176e-7,2.0910577672374504e-6
wt-minus-1-b,3.2e-6,10,wt,minus,1,b,3125000,781250000,81298567.00448373,500,23,230,2.944e-7,2.8290781556741974e-6
wt-minus-1-c,3.2e-6,10,wt,minus,1,c,3125000,781250000,81298567.00448373,500,20,200,2.56e-7,2.460067961455824e-6
wt-minus-10-a,3.2e-6,10,wt,minus,10,a,3125000,781250000,81298567.00448373,500,26,260,3.328e-7,3.198088349892571e-6
wt-minus-10-b,3.2e-6,10,wt,minus,10,b,3125000,781250000,81298567.00448373,500,0,0,0,0
wt-minus-10-c,3.2e-6,10,wt,minus,10,c,3125000,781250000,81298567.00448373,500,34,340,4.352e-7,4.182115534474901e-6
wt-minus-11-a,3.2e-6,10,wt,minus,11,a,3125000,781250000,81298567.00448373,500,0,0,0,0
wt-minus-11-b,3.2e-6,10,wt,minus,11,b,3125000,781250000,81298567.00448373,500,12,120,1.536e-7,1.4760407768734943e-6
wt-minus-11-c,3.2e-6,10,wt,minus,11,c,3125000,781250000,81298567.00448373,500,28,280,3.584e-7,3.4440951460381535e-6
wt-minus-12-a,3.2e-6,10,wt,minus,12,a,3125000,781250000,81298567.00448373,500,21,210,2.688e-7,2.5830713595286153e-6
wt-minus-12-b,3.2e-6,10,wt,minus,12,b,3125000,781250000,81298567.00448373,500,0,0,0,0
wt-minus-12-c,3.2e-6,10,wt,minus,12,c,3125000,781250000,81298567.00448373,500,22,220,2.816e-7,2.706074757601406e-6
wt-minus-2-a,3.2e-6,10,wt,minus,2,a,3125000,781250000,81298567.00448373,500,24,240,3.072e-7,2.9520815537469886e-6
wt-minus-2-b,3.2e-6,10,wt,minus,2,b,3125000,781250000,81298567.00448373,500,19,190,2.432e-7,2.337064563383033e-6
wt-minus-2-c,3.2e-6,10,wt,minus,2,c,3125000,781250000,81298567.00448373,500,0,0,0,0
wt-minus-3-a,3.2e-6,10,wt,minus,3,a,3125000,781250000,81298567.00448373,500,8,80,1.024e-7,9.840271845823296e-7
wt-minus-3-b,3.2e-6,10,wt,minus,3,b,3125000,781250000,81298567.00448373,500,21,210,2.688e-7,2.5830713595286153e-6
wt-minus-3-c,3.2e-6,10,wt,minus,3,c,3125000,781250000,81298567.00448373,500,29,290,3.712e-7,3.5670985441109447e-6
wt-minus-4-a,3.2e-6,10,wt,minus,4,a,3125000,781250000,81298567.00448373,500,5,50,6.4e-8,6.15016990363956e-7
wt-minus-4-b,3.2e-6,10,wt,minus,4,b,3125000,781250000,81298567.00448373,500,23,230,2.944e-7,2.8290781556741974e-6
wt-minus-4-c,3.2e-6,10,wt,minus,4,c,3125000,781250000,81298567.00448373,500,14,140,1.792e-7,1.7220475730190767e-6
wt-minus-5-a,3.2e-6,10,wt,minus,5,a,3125000,781250000,81298567.00448373,500,18,180,2.304e-7,2.2140611653102417e-6
wt-minus-5-b,3.2e-6,10,wt,minus,5,b,3125000,781250000,81298567.00448373,500,8,80,1.024e-7,9.840271845823296e-7
wt-minus-5-c,3.2e-6,10,wt,minus,5,c,3125000,781250000,81298567.00448373,500,11,110,1.408e-7,1.353037378800703e-6
wt-minus-6-a,3.2e-6,10,wt,minus,6,a,3125000,781250000,81298567.00448373,500,16,160,2.048e-7,1.968054369164659e-6
wt-minus-6-b,3.2e-6,10,wt,minus,6,b,3125000,781250000,81298567.00448373,500,18,180,2.304e-7,2.2140611653102417e-6
wt-minus-6-c,3.2e-6,10,wt,minus,6,c,3125000,781250000,81298567.00448373,500,0,0,0,0
wt-minus-7-a,3.2e-6,10,wt,minus,7,a,3125000,781250000,81298567.00448373,500,0,0,0,0
wt-minus-7-b,3.2e-6,10,wt,minus,7,b,3125000,781250000,81298567.00448373,500,21,210,2.688e-7,2.5830713595286153e-6
wt-minus-7-c,3.2e-6,10,wt,minus,7,c,3125000,781250000,81298567.00448373,500,5,50,6.4e-8,6.15016990363956e-7
wt-minus-8-a,3.2e-6,10,wt,minus,8,a,3125000,781250000,81298567.00448373,500,8,80,1.024e-7,9.840271845823296e-7
wt-minus-8-b,3.2e-6,10,wt,minus,8,b,3125000,781250000,81298567.00448373,500,9,90,1.152e-7,1.1070305826551208e-6
wt-minus-8-c,3.2e-6,10,wt,minus,8,c,3125000,781250000,81298567.00448373,500,16,160,2.048e-7,1.968054369164659e-6
wt-minus-9-a,3.2e-6,10,wt,minus,9,a,3125000,781250000,81298567.00448373,500,38,380,4.864e-7,4.674129126766066e-6
wt-minus-9-b,3.2e-6,10,wt,minus,9,b,3125000,781250000,81298567.00448373,500,13,130,1.664e-7,1.5990441749462855e-6
wt-minus-9-c,3.2e-6,10,wt,minus,9,c,3125000,781250000,81298567.00448373,500,16,160,2.048e-7,1.968054369164659e-6
wt-plus-1-a,3.2e-6,19,wt,plus,1,a,5937500,1484375000,107116559.07430583,500,47,470,3.166315789473684e-7,4.387743632373078e-6
wt-plus-1-b,3.2e-6,19,wt,plus,1,b,5937500,1484375000,107116559.07430583,500,44,440,2.9642105263157895e-7,4.107674889881179e-6
wt-plus-1-c,3.2e-6,19,wt,plus,1,c,5937500,1484375000,107116559.07430583,500,115,1150,7.747368421052631e-7,1.0735968462189444e-5
wt-plus-10-a,3.2e-6,19,wt,plus,10,a,5937500,1484375000,107116559.07430583,500,39,390,2.627368421052632e-7,3.6408936523946814e-6
wt-plus-10-b,3.2e-6,19,wt,plus,10,b,5937500,1484375000,107116559.07430583,500,23,230,1.5494736842105264e-7,2.147193692437889e-6
wt-plus-10-c,3.2e-6,19,wt,plus,10,c,5937500,1484375000,107116559.07430583,500,37,370,2.4926315789473685e-7,3.454181157400082e-6
wt-plus-11-a,3.2e-6,19,wt,plus,11,a,5937500,1484375000,107116559.07430583,500,30,300,2.0210526315789475e-7,2.8006874249189857e-6
wt-plus-11-b,3.2e-6,19,wt,plus,11,b,5937500,1484375000,107116559.07430583,500,36,360,2.425263157894737e-7,3.3608249099027827e-6
wt-plus-11-c,3.2e-6,19,wt,plus,11,c,5937500,1484375000,107116559.07430583,500,23,230,1.5494736842105264e-7,2.147193692437889e-6
wt-plus-12-a,3.2e-6,19,wt,plus,12,a,5937500,1484375000,107116559.07430583,500,29,290,1.9536842105263158e-7,2.7073311774216863e-6
wt-plus-12-b,3.2e-6,19,wt,plus,12,b,5937500,1484375000,107116559.07430583,500,42,420,2.829473684210526e-7,3.92096239488658e-6
wt-plus-12-c,3.2e-6,19,wt,plus,12,c,5937500,1484375000,107116559.07430583,500,34,340,2.2905263157894738e-7,3.174112414908184e-6
wt-plus-2-a,3.2e-6,19,wt,plus,2,a,5937500,1484375000,107116559.07430583,500,78,780,5.254736842105264e-7,7.281787304789363e-6
wt-plus-2-b,3.2e-6,19,wt,plus,2,b,5937500,1484375000,107116559.07430583,500,97,970,6.534736842105263e-7,9.055556007238054e-6
wt-plus-2-c,3.2e-6,19,wt,plus,2,c,5937500,1484375000,107116559.07430583,500,36,360,2.425263157894737e-7,3.3608249099027827e-6
wt-plus-3-a,3.2e-6,19,wt,plus,3,a,5937500,1484375000,107116559.07430583,500,62,620,4.1768421052631577e-7,5.78808734483257e-6
wt-plus-3-b,3.2e-6,19,wt,plus,3,b,5937500,1484375000,107116559.07430583,500,90,900,6.063157894736842e-7,8.402062274756957e-6
wt-plus-3-c,3.2e-6,19,wt,plus,3,c,5937500,1484375000,107116559.07430583,500,96,960,6.467368421052631e-7,8.962199759740753e-6
wt-plus-4-a,3.2e-6,19,wt,plus,4,a,5937500,1484375000,107116559.07430583,500,48,480,3.2336842105263156e-7,4.481099879870377e-6
wt-plus-4-b,3.2e-6,19,wt,plus,4,b,5937500,1484375000,107116559.07430583,500,89,890,5.99578947368421e-7,8.308706027259657e-6
wt-plus-4-c,3.2e-6,19,wt,plus,4,c,5937500,1484375000,107116559.07430583,500,64,640,4.311578947368421e-7,5.974799839827169e-6
wt-plus-5-a,3.2e-6,19,wt,plus,5,a,5937500,1484375000,107116559.07430583,500,54,540,3.637894736842105e-7,5.041237364854174e-6
wt-plus-5-b,3.2e-6,19,wt,plus,5,b,5937500,1484375000,107116559.07430583,500,44,440,2.9642105263157895e-7,4.107674889881179e-6
wt-plus-5-c,3.2e-6,19,wt,plus,5,c,5937500,1484375000,107116559.07430583,500,40,400,2.694736842105263e-7,3.7342498998919808e-6
wt-plus-6-a,3.2e-6,19,wt,plus,6,a,5937500,1484375000,107116559.07430583,500,57,570,3.84e-7,5.321306107346073e-6
wt-plus-6-b,3.2e-6,19,wt,plus,6,b,5937500,1484375000,107116559.07430583,500,42,420,2.829473684210526e-7,3.92096239488658e-6
wt-plus-6-c,3.2e-6,19,wt,plus,6,c,5937500,1484375000,107116559.07430583,500,48,480,3.2336842105263156e-7,4.481099879870377e-6
wt-plus-7-a,3.2e-6,19,wt,plus,7,a,5937500,1484375000,107116559.07430583,500,39,390,2.627368421052632e-7,3.6408936523946814e-6
