sample,dilution,cfus
wt-plus-1-a,0.0000032,19
wt-plus-1-b,0.0000032,19
wt-plus-1-c,0.0000032,19
wt-plus-2-a,0.0000032,19
wt-plus-2-b,0.0000032,19
wt-plus-2-c,0.0000032,19
wt-plus-3-a,0.0000032,19
wt-plus-3-b,0.0000032,19
wt-plus-3-c,0.0000032,19
wt-plus-4-a,0.0000032,19
wt-plus-4-b,0.0000032,19
wt-plus-4-c,0.0000032,19
wt-plus-5-a,0.0000032,19
wt-plus-5-b,0.0000032,19
wt-plus-5-c,0.0000032,19
wt-plus-6-a,0.0000032,19
wt-plus-6-b,0.0000032,19
wt-plus-6-c,0.0000032,19
wt-plus-7-a,0.0000032,19
wt-plus-7-b,0.0000032,19
wt-plus-7-c,0.0000032,19
wt-plus-8-a,0.0000032,19
wt-plus-8-b,0.0000032,19
wt-plus-8-c,0.0000032,19
wt-plus-9-a,0.0000032,19
wt-plus-9-b,0.0000032,19
wt-plus-9-c,0.0000032,19
wt-plus-10-a,0.0000032,19
wt-plus-10-b,0.0000032,19
wt-plus-10-c,0.0000032,19
wt-plus-11-a,0.0000032,19
wt-plus-11-b,0.0000032,19
wt-plus-11-c,0.0000032,19
wt-plus-12-a,0.0000032,19
wt-plus-12-b,0.0000032,19
wt-plus-12-c,0.0000032,19
wt-minus-1-a,0.0000032,10
wt-minus-1-b,0.0000032,10
wt-minus-1-c,0.0000032,10
wt-minus-2-a,0.0000032,10
wt-minus-2-b,0.0000032,10
wt-minus-2-c,0.0000032,10
wt-minus-3-a,0.0000032,10
wt-minus-3-b,0.0000032,10
wt-minus-3-c,0.0000032,10
wt-minus-4-a,0.0000032,10
wt-minus-4-b,0.0000032,10
wt-minus-4-c,0.0000032,10
wt-minus-5-a,0.0000032,10
wt-minus-5-b,0.0000032,10
wt-minus-5-c,0.0000032,10
wt-minus-6-a,0.0000032,10
wt-minus-6-b,0.0000032,10
wt-minus-6-c,0.0000032,10
wt-minus-7-a,0.0000032,10
wt-minus-7-b,0.0000032,10
wt-minus-7-c,0.0000032,10
wt-minus-8-a,0.0000032,10
wt-minus-8-b,0.0000032,10
wt-minus-8-c,0.0000032,10
wt-minus-9-a,0.0000032,10
wt-minus-9-b,0.0000032,10
wt-minus-9-c,0.0000032,10
wt-minus-10-a,0.0000032,10
wt-minus-10-b,0.0000032,10
wt-minus-10-c,0.0000032,10
wt-minus-11-a,0.0000032,10
wt-minus-11-b,0.0000032,10
wt-minus-11-c,0.0000032,10
wt-minus-12-a,0.0000032,10
wt-minus-12-b,0.0000032,10
wt-minus-12-c,0.0000032,10
