sample,concentration,mutants
wt-plus-1-a,500,47
wt-plus-1-b,500,44
wt-plus-1-c,500,115
wt-plus-2-a,500,78
wt-plus-2-b,500,97
wt-plus-2-c,500,36
wt-plus-3-a,500,62
wt-plus-3-b,500,90
wt-plus-3-c,500,96
wt-plus-4-a,500,48
wt-plus-4-b,500,89
wt-plus-4-c,500,64
wt-plus-5-a,500,54
wt-plus-5-b,500,44
wt-plus-5-c,500,40
wt-plus-6-a,500,57
wt-plus-6-b,500,42
wt-plus-6-c,500,48
wt-plus-7-a,500,39
wt-plus-7-b,500,51
wt-plus-7-c,500,108
wt-plus-8-a,500,58
wt-plus-8-b,500,35
wt-plus-8-c,500,44
wt-plus-9-a,500,32
wt-plus-9-b,500,72
wt-plus-9-c,500,18
wt-plus-10-a,500,39
wt-plus-10-b,500,23
wt-plus-10-c,500,37
wt-plus-11-a,500,30
wt-plus-11-b,500,36
wt-plus-11-c,500,23
wt-plus-12-a,500,29
wt-plus-12-b,500,42
wt-plus-12-c,500,34
wt-minus-1-a,500,17
wt-minus-1-b,500,23
wt-minus-1-c,500,20
wt-minus-2-a,500,24
wt-minus-2-b,500,19
wt-minus-2-c,500,0
wt-minus-3-a,500,8
wt-minus-3-b,500,21
wt-minus-3-c,500,29
wt-minus-4-a,500,5
wt-minus-4-b,500,23
wt-minus-4-c,500,14
wt-minus-5-a,500,18
wt-minus-5-b,500,8
wt-minus-5-c,500,11
wt-minus-6-a,500,16
wt-minus-6-b,500,18
wt-minus-6-c,500,0
wt-minus-7-a,500,0
wt-minus-7-b,500,21
wt-minus-7-c,500,5
wt-minus-8-a,500,8
wt-minus-8-b,500,9
wt-minus-8-c,500,16
wt-minus-9-a,500,38
wt-minus-9-b,500,13
wt-minus-9-c,500,16
wt-minus-10-a,500,26
wt-minus-10-b,500,0
wt-minus-10-c,500,34
wt-minus-11-a,500,0
wt-minus-11-b,500,12
wt-minus-11-c,500,28
wt-minus-12-a,500,21
wt-minus-12-b,500,0
wt-minus-12-c,500,22
