bayes,locus,p.value,adj.p.value
1,fdhF-Rv2901c,0,0
1,Rv2261c-Rv2262c,0,0
1,Rv0968-ctpV,0,0
1,mku-ligD,0,0
1,Rv0221-echA1,0,0
1,Rv3552-Rv3553,0,0
1,Rv1055-leuX,0,0
1,Rv3672c-Rv3673c,0,0
1,devR-Rv3134c,0,0
1,Rv1403c-Rv1404,0,0
0.925925925925926,Rv3830c-Rv3831,0,0
0.896551724137931,pyrR,0,0
0.8888888888888888,bisC-Rv1443c,0,0
0.8764044943820225,pncA,0,0
0.875,irtB-fabG2,0,0
0.8579881656804734,katG,0,0
0.8571428571428571,Rv2599-Rv2600,0,0
0.8571428571428571,Rv0870c-cspB,0,0
0.8481012658227848,Rv1482c-fabG1,0,0
0.8333333333333334,nmtR,0,0
0.8333333333333334,valT-glyT,0,0
0.8333333333333334,esxJ-PPE15,0,0
0.8095238095238095,Rv0434-Rv0435c,0,0
0.8,Rv0743c,0,0
0.8,katG-furA,0,0
0.8,Rv1000c-arcA,0,0
0.8,clpP2,0,0
0.8,Rv2639c-Rv2640c,0,0
0.7777777777777778,sseC1,0,0
0.7727272727272727,trcR-Rv1034c,0,0
0.7692307692307693,Rv3143,0,0
0.7692307692307693,fadE2,0,0
0.75,Rv3745c-PE34,0,0
0.75,Rv2271-Rv2272,0,0
0.75,Rv1073-fadA3,0,0
0.75,Rv2979c-Rv2980,0,0
0.75,Rv3173c,0,0
0.75,yajC,0,0
0.75,aglA-Rv2472,0,0
0.75,icd1-metC,0,0
0.7373737373737373,rpoB,0,0
0.7272727272727273,Rv0043c,0,0
0.7272727272727273,Rv0061c-celA1,0,0
0.7222222222222222,vapB4,0,0
0.72,PPE33-Rv1810,0,0
0.7142857142857143,mmaA3,0,0
0.7142857142857143,embC-embA,0,0
0.7142857142857143,hisA,0,0
0.7142857142857143,pknH-embR,0,0
0.7,Rv3627c-ppa,0,0
0.6923076923076923,Rv2042c,0,0
0.6666666666666666,Rv0273c-Rv0274,0,0
0.6666666666666666,oxyR-ahpC,0,0
0.6666666666666666,Rv2273-mazF8,0,0
0.6666666666666666,Rv3064c,0,0
0.6666666666666666,eccB4-cut3,0,0
0.6666666666666666,Rv3395A-guaA,0,0
0.6666666666666666,rnpB,0,0
0.6666666666666666,Rv0566c-tyrT,0,0
0.6666666666666666,Rv2186c-fadD15,0,0
0.6666666666666666,Rv1686c-Rv1687c,0,0
0.6666666666666666,Rv2774c-Rv2775,0,0
0.6666666666666666,Rv1158c-pimE,0,0
0.6666666666666666,Rv0430-Rv0431,0,0
0.6666666666666666,fdxD,0,0
0.6666666666666666,Rv2688c-Rv2689c,0,0
0.6666666666666666,leuT-Rv0021c,0,0
0.6666666666666666,dop-Rv2113,0,0
0.6666666666666666,lppT-PPE28,0,0
0.6666666666666666,B11-Rv3661,0,0
0.6666666666666666,hisF,0,0
0.6666666666666666,Rv3353c-Rv3354,0,0
0.6666666666666666,Rv0076c-Rv0077c,0,0
0.6666666666666666,Rv3095-Rv3096,0,0
0.6666666666666666,ercc3-Rv0862c,0,0
0.6666666666666666,vapC43,0,0
0.6666666666666666,secA1-Rv3241c,0,0
0.6666666666666666,hsdS.1,0,0
0.6666666666666666,vapC17,0,0
0.6666666666666666,Rv3821-Rv3822,0,0
0.6666666666666666,cdh-lppO,0,0
0.6666666666666666,esxS,0,0
0.6666666666666666,fixB-fixA,0,0
0.6428571428571429,PPE30-PE_PGRS32,0,0
0.6428571428571429,aprB,0,0
0.6363636363636364,vapB10,0,0
0.6363636363636364,ppnK,0,0
0.6363636363636364,adk,0,0
0.625,Rv1457c,0,0
0.625,Rv1723,0,0
0.625,leuA-dnaQ,0,0
0.625,Rv3727-Rv3728,0,0
0.625,Rv0516c,0,0
0.625,mbtG,0,0
0.625,esxQ,0,0
0.625,AS1890,0,0
0.6222222222222222,Rv1443c-Rv1444c,0,0
0.6041666666666666,kmtR-Rv0828c,0,0
0.6,aftC-msrB,0,0
0.6,Rv3600c,0,0
0.6,pssA,0,0
0.6,Rv2638-Rv2639c,0,0
0.6,efp,0,0
0.6,Rv0123,0,0
0.6,Rv3787c-Rv3788,0,0
0.6,Rv1332,0,0
0.6,Rv1404,0,0
0.6,Rv0247c,0,0
0.6,hadA,0,0
0.6,argA,0,0
0.6,vapB29,0,0
0.6,Rv2169c,0,0
0.6,PPE62-hsaF,0,0
0.6,Rv3629c,0,0
0.6,tmk-sahH,0,0
0.5882352941176471,vapB14,0,0
0.5882352941176471,inhA,0,0
0.5833333333333334,lpqX,0,0
0.5833333333333334,Rv0560c,0,0
0.5789473684210527,Rv2314c,2.2645044506219847e-8,9.797256858682719e-7
