Sample.ID,lineage,major.lineage,Rifampicin,Isoniazid,Ethambutol,Streptomycin
SRR5073930,1.2.1,1,0,0,0,0
SRR5065430,1.2.1,1,0,1,0,1
SRR5067353,1.2.1,1,0,0,0,0
SRR5067598,1.2.1,1,0,0,0,0
SRR5065607,1.2.1,1,0,0,0,0
SRR5073832,1.2.1,1,0,0,0,0
SRR5074101,1,1,0,0,0,0
SRR5074159,1.2.1,1,0,0,0,0
SRR5065633,1.2.1,1,0,0,0,0
SRR5073847,1.2.1,1,0,1,0,1
SRR5065503,1.2.1,1,0,0,0,0
SRR5067336,1.2.1,1,0,0,0,0
SRR26399689,1,1,0,1,0,0
SRR5067599,1.2.1,1,0,1,0,0
SRR26399925,1.2.1,1,0,0,0,0
SRR5073849,1.2.1,1,0,0,0,0
SRR5073510,1.2.1,1,0,0,0,0
SRR5074104,1.2.1,1,0,0,0,0
SRR5073539,1.2.1,1,0,0,0,0
SRR5067655,1.2.1,1,0,1,0,1
SRR26399276,1.2.1,1,0,0,0,0
SRR5073617,1.2.1,1,0,0,0,0
SRR5065375,1.2.1,1,0,1,0,0
SRR5067296,1.2.1,1,0,0,0,0
SRR5073869,1.2.1,1,0,0,0,0
SRR5074057,1.1.1,1,0,1,0,1
SRR5067597,1.1.1,1,0,0,0,0
SRR26399962,1.1.1,1,0,0,0,0
SRR5073724,1.1.1,1,0,0,0,0
SRR5073778,1.1.1,1,0,0,0,1
SRR26399778,1.1.1,1,0,0,0,0
SRR5065666,1.1.1,1,0,0,0,0
SRR26399712,1.1.1,1,0,0,0,0
SRR5067698,1.1.1,1,0,0,0,0
SRR5073752,1.1.1,1,0,1,0,0
SRR5067708,1.1.1,1,0,0,0,0
SRR26399947,1.1.1,1,0,0,0,0
SRR5074115,1.1.1,1,0,1,0,1
SRR5065504,1.1.1,1,0,0,0,0
SRR26399269,1.1.1,1,0,0,0,0
SRR5065285,1.1.1,1,0,0,0,0
SRR5073848,1.1.1,1,0,1,0,0
SRR26399672,1.1.1,1,0,0,0,0
SRR5067470,1.1.1,1,0,0,0,1
SRR5074090,1.1.1,1,1,1,0,1
SRR5073988,1.1.1,1,0,0,0,0
SRR26399670,1.1.1,1,0,1,0,0
SRR5067315,1.1.1,1,0,0,0,0
SRR5065456,1.1.1,1,0,1,0,0
SRR5067585,1.1.1,1,0,0,0,0
SRR5073801,1.1.1,1,0,1,0,0
SRR5065437,1.1.1,1,0,0,0,0
SRR26399452,1.1.1,1,0,0,0,0
SRR5073769,1.1.1,1,0,0,0,0
SRR5074134,1.1.1,1,0,1,0,1
SRR26399288,1.1.1,1,0,0,0,0
SRR5073753,1.1.1,1,0,0,0,0
SRR5065459,1.1.1,1,0,0,0,0
SRR5073969,1.1.1,1,0,0,0,0
SRR5065320,1.1.1,1,0,0,0,0
SRR5065609,1.1.1,1,0,0,0,0
SRR5065287,1.1.1,1,0,1,0,0
SRR5067596,1.1.1,1,0,0,0,0
SRR26399959,1.1.1,1,0,0,0,0
SRR26399277,1.1.1,1,0,0,0,0
SRR26399698,1.1.1,1,0,0,0,0
SRR5065432,1.1.1,1,0,0,0,0
SRR5067226,1.1.1,1,1,1,0,0
SRR5065704,1.1.1,1,0,0,0,0
SRR5073967,1.1.1,1,0,0,0,0
SRR5067583,1.1.1,1,0,0,0,0
SRR5073901,1.1.1,1,0,0,0,0
SRR5073604,1.1.1,1,0,0,0,0
SRR26399701,1.1.1.1,1,0,0,0,0
SRR5067486,1.1.1.1,1,0,0,0,0
SRR5074172,1.1.1.1,1,0,0,0,0
SRR5065603,1.1.1.1,1,0,1,0,1
SRR26399540,1.1.1.1,1,0,0,0,0
SRR5067318,1.1.1.1,1,0,0,0,0
SRR5065289,1.1.1.1,1,0,1,0,0
SRR26399534,1.1.1.1,1,0,0,0,0
SRR5067565,1.1.1.1,1,1,1,0,0
SRR5073517,1.1.1.1,1,0,0,0,0
SRR5073889,1.1.1.1,1,0,0,0,0
SRR5067537,1.1.1.1,1,0,0,0,0
SRR5073899,1.1.1.1,1,0,1,0,0
SRR5067246,1.1.1.1,1,0,1,0,0
SRR5073795,1.1.1.1,1,0,0,0,0
SRR5073789,1.1.1.1,1,0,0,0,0
SRR5065243,1.1.1.1,1,0,0,0,0
SRR5073663,1.1.1.1,1,0,0,0,0
SRR5073592,1.1.1.1,1,0,0,0,0
SRR26399777,1.1.1.1,1,0,0,0,0
SRR5067645,1.1.1.1,1,0,0,0,0
SRR5065523,1.1.1.1,1,0,0,0,0
SRR5067370,1.1.1.1,1,0,0,0,0
SRR5074124,1.1.1.1,1,0,0,0,0
SRR5073590,1.1.1.1,1,0,0,0,1
SRR26399697,1.1.1.1,1,0,0,0,0
SRR26399303,1.1.1.1,1,0,0,0,0
SRR5067449,1.1.1.1,1,0,0,0,0
SRR5065428,1.1.1.1,1,0,0,0,0
SRR5065280,1.1.1.1,1,0,0,1,1
SRR5067283,1.1.1.1,1,0,0,0,1
SRR5067437,1.1.1.1,1,0,0,0,1
SRR5065309,1.1.1.1,1,0,0,0,0
SRR5067524,1.1.1.1,1,0,0,0,0
SRR5065532,1.1.1.1,1,0,0,0,0
SRR5074132,1.1.1.1,1,0,0,0,0
SRR5067662,1.1.1.1,1,0,0,0,0
SRR5073841,1.1.1.1,1,0,0,0,0
SRR5074117,1.1.1.1,1,0,0,0,1
SRR5065330,1.1.1.1,1,0,0,0,0
SRR5067498,1.1.1.1,1,0,1,0,1
SRR5073748,1.1.1.1,1,0,0,0,0
SRR5074086,1.1.1.1,1,0,0,0,0
SRR5073973,1.1.1.1,1,0,0,0,1
SRR5073621,1.1.1.1,1,0,0,0,0
SRR5074084,1.1.1.1,1,0,0,0,0
SRR5073861,1.1.1.1,1,0,0,0,1
SRR5073956,1.1.1.1,1,0,0,0,0
SRR5073881,1.1.1.1,1,0,0,0,0
SRR5073793,1.1.1.1,1,0,1,0,0
SRR5073684,1.1.1.1,1,0,0,0,0
SRR5065207,1.1.1.1,1,0,0,0,0
SRR5065349,1.1.1.1,1,0,0,0,0
SRR26399953,1.1.1.1,1,0,0,0,0
SRR5067628,1.1.1.1,1,0,0,0,0
SRR5073955,1.1.1.1,1,0,0,0,0
SRR5067455,1.1.1.1,1,0,0,0,1
SRR5065346,1.1.1.1,1,0,0,0,0
SRR5065693,1.1.1.1,1,0,1,0,1
SRR5065402,1.1.1.1,1,0,0,0,0
SRR5065516,1.1.1.1,1,0,0,0,0
SRR5067291,1.1.1.1,1,0,0,0,0
SRR5065635,1.1.1.1,1,0,0,0,0
SRR5073544,1.1.1.1,1,0,0,0,0
SRR5065445,1.1.1.1,1,0,0,0,0
SRR26399417,1.1.1.1,1,0,0,0,0
SRR5065495,1.1.1.1,1,0,1,0,1
SRR26399668,1.1.1.1,1,0,0,0,0
SRR5065317,1.1.1.1,1,0,0,0,0
SRR5065369,1.1.1.1,1,0,0,0,1
SRR26399780,1.1.1.1,1,0,0,0,0
SRR5065648,1.1.1.1,1,1,1,1,1
SRR5067350,1.1.1.1,1,0,0,0,0
SRR5065587,1.1.1.1,1,0,0,0,0
SRR5073885,1.1.1.1,1,0,0,0,0
SRR5073944,1.1.1.1,1,0,0,0,0
SRR5073734,1.1.1.1,1,0,0,0,1
SRR26399529,1.1.1.1,1,1,1,0,0
SRR5067485,1.1.1.1,1,0,0,0,0
SRR5067298,1.1.1.1,1,0,1,0,0
SRR5074135,1.1.1.1,1,0,1,0,0
SRR5067352,1.1.1.1,1,0,0,0,0
SRR5065258,1.1.1.1,1,0,0,0,1
SRR5065201,1.1.1.1,1,0,0,0,0
SRR5067248,1.1.1.1,1,0,0,0,0
SRR5065695,1.1.1.1,1,0,1,0,0
SRR5073971,1.1.1.1,1,0,0,0,0
SRR5065205,1.1.1.1,1,0,0,0,0
SRR26399519,1.1.1.1,1,0,0,0,0
SRR5074129,1.1.1.1,1,0,0,0,0
SRR5067464,1.1.1.1,1,0,0,0,0
SRR5065584,1.1.1.1,1,0,0,0,0
SRR5065464,1.1.1.1,1,0,0,0,0
SRR5067466,1.1.1.1,1,0,0,0,0
SRR5073614,1.1.1.1,1,0,0,0,0
SRR5067252,1.1.1.1,1,0,0,0,0
SRR26399443,1.1.1.1,1,0,0,0,0
SRR5074069,1.1.1.1,1,0,0,0,0
SRR5073850,1.1.1.1,1,1,1,0,1
SRR5065548,1.1.1.1,1,0,0,0,0
SRR5073751,1.1.1.1,1,0,0,0,0
SRR5073749,1.1.1.1,1,0,0,0,0
SRR5073977,1.1.1.1,1,0,0,0,0
SRR26399785,1.1.1.1,1,0,0,0,0
SRR5065447,1.1.1.1,1,0,0,0,0
SRR5065458,1.1.1.1,1,0,0,0,0
SRR5073706,1.1.1.1,1,0,0,0,0
SRR5073634,1.1.1.1,1,0,0,0,0
SRR5067397,1.1.1.1,1,0,1,0,1
SRR5067445,1.1.1.1,1,0,0,0,0
SRR5067364,1.1.1.1,1,0,0,0,0
SRR5073587,1.1.1.1,1,0,0,0,0
SRR26399690,1.1.1.1,1,0,0,0,0
SRR5073674,1.1.1.1,1,0,0,0,0
SRR26399930,1.1.1.1,1,0,0,0,0
SRR5065342,1.1.1.1,1,0,1,0,0
SRR5074118,1.1.1.1,1,0,0,0,0
SRR5067663,1.1.1.1,1,0,0,0,0
