rv.number,locus
Rv0026,Rv0026
Rv0029,Rv0029
Rv0115,hddA
Rv0147,Rv0147
Rv0149,Rv0149
Rv0161,Rv0161
Rv0215c,fadE3
Rv0405,pks6
Rv0411c,glnH
Rv0499,Rv0499
Rv0522,gabP
Rv0570,nrdZ
Rv0584,Rv0584
Rv0592,mce2D
Rv0618,galTb
Rv0634A,Rv0634A
Rv0698,Rv0698
Rv0711,atsA
Rv0830,Rv0830
Rv0890c,Rv0890c
Rv0927c,Rv0927c
Rv0932c,pstS2
Rv0943c,Rv0943c
Rv1012,Rv1012
Rv1322,Rv1322
Rv1435c,Rv1435c
Rv1488,Rv1488
Rv1498c,Rv1498c
Rv1503c,Rv1503c
Rv1549,fadD11
Rv1625c,cya
Rv1662,pks8
Rv1672c,Rv1672c
Rv1729c,Rv1729c
Rv1841c,Rv1841c
Rv1868,Rv1868
Rv1895,Rv1895
Rv1968,mce3C
Rv1977,Rv1977
Rv1996,Rv1996
Rv2059,Rv2059
Rv2081c,Rv2081c
Rv2082,Rv2082
Rv2113,Rv2113
Rv2227,Rv2227
Rv2276,cyp121
Rv2333c,stp
Rv2478c,Rv2478c
Rv2496c,bkdB
Rv2504c,scoA
Rv2562,Rv2562
Rv2625c,Rv2625c
Rv2660c,Rv2660c
Rv2706c,Rv2706c
Rv2797c,Rv2797c
Rv2809,Rv2809
Rv2823c,Rv2823c
Rv2835c,ugpA
Rv2931,ppsA
Rv3175,Rv3175
Rv3337,Rv3337
Rv3370c,dnaE2
Rv3382c,lytB1
Rv3468c,Rv3468c
Rv3545c,cyp125
Rv3589,mutY
Rv3663c,dppD
Rv3724A,cut5b
Rv3769,Rv3769
Rv3787c,Rv3787c
Rv3836,Rv3836
Rv3864,espE
Rv3879c,espK
Rv3900c,Rv3900c
Rv3919c,gid
Rv0003,recF
Rv0007,Rv0007
Rv0032,bioF2
Rv0039c,Rv0039c
Rv0042c,Rv0042c
Rv0047c,Rv0047c
Rv0061c,Rv0061c
Rv0067c,Rv0067c
Rv0073,Rv0073
Rv0075,Rv0075
Rv0079,Rv0079
Rv0080,Rv0080
Rv0093c,Rv0093c
Rv0101,nrp
Rv0107c,ctpI
Rv0117,oxyS
Rv0136,cyp138
Rv0166,fadD5
Rv0167,yrbE1A
Rv0168,yrbE1B
Rv0169,mce1A
Rv0178,Rv0178
Rv0181c,Rv0181c
Rv0187,Rv0187
Rv0189c,ilvD
Rv0194,Rv0194
Rv0197,Rv0197
Rv0198c,zmp1
Rv0201c,Rv0201c
Rv0202c,mmpL11
Rv0211,pckA
Rv0212c,nadR
Rv0213c,Rv0213c
Rv0217c,lipW
Rv0223c,Rv0223c
Rv0226c,Rv0226c
Rv0244c,fadE5
Rv0259c,Rv0259c
Rv0260c,Rv0260c
Rv0264c,Rv0264c
Rv0267,narU
Rv0276,Rv0276
Rv0283,eccB3
Rv0294,tam
Rv0319,pcp
Rv0323c,Rv0323c
Rv0333,Rv0333
Rv0364,Rv0364
Rv0376c,Rv0376c
Rv0383c,Rv0383c
Rv0399c,lpqK
Rv0425c,ctpH
Rv0461,Rv0461
Rv0470A,Rv0470A
Rv0473,Rv0473
Rv0479c,Rv0479c
Rv0504c,Rv0504c
Rv0509,hemA
Rv0525,Rv0525
Rv0533c,fabH
Rv0538,Rv0538
Rv0545c,pitA
Rv0552,Rv0552
Rv0558,menH
Rv0572c,Rv0572c
Rv0576,Rv0576
Rv0579,Rv0579
Rv0583c,lpqN
Rv0585c,Rv0585c
EBG00000313383,B55
Rv0610c,Rv0610c
Rv0629c,recD
Rv0630c,recB
Rv0631c,recC
Rv0635,hadA
Rv0647c,Rv0647c
Rv0648,Rv0648
Rv0650,Rv0650
Rv0664,vapB8
Rv0667,rpoB
Rv0676c,mmpL5
Rv0686,Rv0686
Rv0702,rplD
Rv0724,sppA
Rv0729,xylB
Rv0731c,Rv0731c
Rv0732,secY
Rv0736,rslA
Rv0739,Rv0739
Rv0757,phoP
Rv0758,phoR
Rv0760c,Rv0760c
Rv0768,aldA
Rv0774c,Rv0774c
Rv0779c,Rv0779c
Rv0790c,Rv0790c
Rv0813c,Rv0813c
Rv0818,Rv0818
Rv0831c,Rv0831c
Rv0835,lpqQ
Rv0840c,pip
Rv0845,Rv0845
Rv0902c,prrB
Rv0904c,accD3
Rv0905,echA6
Rv0907,Rv0907
Rv0917,betP
Rv0923c,Rv0923c
Rv0925c,Rv0925c
Rv0926c,Rv0926c
Rv0936,pstA2
Rv0937c,mku
Rv0946c,pgi
Rv0949,uvrD1
Rv0957,purH
Rv0969,ctpV
Rv0971c,echA7
Rv0976c,Rv0976c
Rv0986,Rv0986
Rv0987,Rv0987
Rv0998,Rv0998
Rv1009,rpfB
Rv1020,mfd
Rv1022,lpqU
Rv1023,eno
Rv1030,kdpB
Rv1069c,Rv1069c
Rv1099c,glpX
Rv1118c,Rv1118c
Rv1132,Rv1132
Rv1143,mcr
EBG00000313317,mcr10
Rv1165,typA
Rv1166,lpqW
Rv1176c,Rv1176c
Rv1179c,Rv1179c
Rv1185c,fadD21
Rv1190,Rv1190
Rv1218c,Rv1218c
Rv1221,sigE
Rv1228,lpqX
Rv1251c,Rv1251c
Rv1258c,Rv1258c
Rv1265,Rv1265
Rv1268c,Rv1268c
Rv1278,Rv1278
Rv1283c,oppB
Rv1290c,Rv1290c
Rv1294,thrA
Rv1295,thrC
EBG00000313377,mcr3
EBG00000313325,rrs
Rv1319c,Rv1319c
Rv1327c,glgE
Rv1328,glgP
Rv1355c,moeY
Rv1366A,Rv1366A
EBG00000313353,MTS1082
Rv1374c,MTS1082-Rv1375
Rv1376,Rv1376
Rv1378c,Rv1378c
Rv1392,metK
Rv1393c,Rv1393c
Rv1398c,vapB10
Rv1408,rpe
Rv1424c,Rv1424c
Rv1425,Rv1425
Rv1428c,Rv1428c
Rv1431,Rv1431
Rv1442,bisC
Rv1447c,zwf2
Rv1453,Rv1453
Rv1459c,Rv1459c
Rv1463,Rv1463
Rv1472,echA12
Rv1478,Rv1478
Rv1481,Rv1481
Rv1484,inhA
Rv1500,Rv1500
Rv1501,Rv1501
Rv1502,Rv1502
Rv1505c,Rv1505c
Rv1508c,Rv1508c
Rv1511,gmdA
Rv1515c,Rv1515c
Rv1521,fadD25
Rv1522c,mmpL12
Rv1524,Rv1524
Rv1530,adh
Rv1535,Rv1535
Rv1538c,ansA
