bayes,locus
1,fdhF-Rv2901c
1,Rv2261c-Rv2262c
1,Rv0968-ctpV
1,mku-ligD
1,Rv0221-echA1
1,Rv3552-Rv3553
1,Rv1055-leuX
1,Rv3672c-Rv3673c
1,devR-Rv3134c
1,Rv1403c-Rv1404
0.9259259259259259,Rv3830c-Rv3831
0.896551724137931,pyrR
0.8888888888888888,bisC-Rv1443c
0.8764044943820225,pncA
0.875,irtB-fabG2
0.8579881656804734,katG
0.8571428571428571,Rv2599-Rv2600
0.8571428571428571,Rv0870c-cspB
0.8481012658227848,Rv1482c-fabG1
0.8333333333333334,nmtR
0.8333333333333334,valT-glyT
0.8333333333333334,esxJ-PPE15
0.8095238095238095,Rv0434-Rv0435c
0.8,Rv0743c
0.8,katG-furA
0.8,Rv1000c-arcA
0.8,clpP2
0.8,Rv2639c-Rv2640c
0.7777777777777778,sseC1
0.7727272727272727,trcR-Rv1034c
0.7692307692307693,Rv3143
0.7692307692307693,fadE2
0.75,Rv3745c-PE34
0.75,Rv2271-Rv2272
0.75,Rv1073-fadA3
0.75,Rv2979c-Rv2980
0.75,Rv3173c
0.75,yajC
0.75,aglA-Rv2472
0.75,icd1-metC
0.7373737373737373,rpoB
0.7272727272727273,Rv0043c
0.7272727272727273,Rv0061c-celA1
0.7222222222222222,vapB4
0.72,PPE33-Rv1810
0.7142857142857143,mmaA3
0.7142857142857143,embC-embA
0.7142857142857143,hisA
0.7142857142857143,pknH-embR
0.7,Rv3627c-ppa
0.6923076923076923,Rv2042c
0.6666666666666666,Rv0273c-Rv0274
0.6666666666666666,oxyR-ahpC
0.6666666666666666,Rv2273-mazF8
0.6666666666666666,Rv3064c
0.6666666666666666,eccB4-cut3
0.6666666666666666,Rv3395A-guaA
0.6666666666666666,rnpB
0.6666666666666666,Rv0566c-tyrT
0.6666666666666666,Rv2186c-fadD15
0.6666666666666666,Rv1686c-Rv1687c
0.6666666666666666,Rv2774c-Rv2775
0.6666666666666666,Rv1158c-pimE
0.6666666666666666,Rv0430-Rv0431
0.6666666666666666,fdxD
0.6666666666666666,Rv2688c-Rv2689c
0.6666666666666666,leuT-Rv0021c
0.6666666666666666,dop-Rv2113
0.6666666666666666,lppT-PPE28
0.6666666666666666,B11-Rv3661
0.6666666666666666,hisF
0.6666666666666666,Rv3353c-Rv3354
0.6666666666666666,Rv0076c-Rv0077c
0.6666666666666666,Rv3095-Rv3096
