Gene,Rv0019c,Rv0020c,Rv0022c,Rv0023,Rv0038,Rv0042c,Rv0043c,Rv0047c,Rv0054,Rv0067c,Rv0078,Rv0081,Rv0117,Rv0135c,Rv0144,Rv0158,Rv0165c,Rv0182c,Rv0195,Rv0212c,Rv0232,Rv0238,Rv0260c,Rv0273c,Rv0275c,Rv0302,Rv0324,Rv0328,Rv0330c,Rv0339c,Rv0348,Rv0353,Rv0377,Rv0445c,Rv0452,Rv0465c,Rv0472c,Rv0474,Rv0485,Rv0491,Rv0494,Rv0560c,Rv0576,Rv0586,Rv0599c,Rv0602c,Rv0608,Rv0623,Rv0653c,Rv0674,Rv0678,Rv0681,Rv0691c,Rv0735,Rv0737,Rv0744c,Rv0757,Rv0767c,Rv0792c,Rv0818,Rv0821c,Rv0823c,Rv0827c,Rv0844c,Rv0880,Rv0891c,Rv0894,Rv0903c,Rv0967,Rv0981,Rv1019,Rv1027c,Rv1033c,Rv1049,Rv1129c,Rv1151c,Rv1152,Rv1167c,Rv1176c,Rv1186c,Rv1189,Rv1219c,Rv1221,Rv1255c,Rv1267c,Rv1287,Rv1332,Rv1353c,Rv1358,Rv1359,Rv1379,Rv1395,Rv1404,Rv1423,Rv1453,Rv1460,Rv1473A,Rv1474c,Rv1556,Rv1560,Rv1626,Rv1657,Rv1674c,Rv1675c,Rv1719,Rv1725c,Rv1740,Rv1773c,Rv1776c,Rv1816,Rv1828,Rv1830,Rv1846c,Rv1909c,Rv1931c,Rv1956,Rv1960c,Rv1963c,Rv1985c,Rv1990c,Rv1994c,Rv2009,Rv2011c,Rv2017,Rv2021c,Rv2034,Rv2069,Rv2160A,Rv2160c,Rv2175c,Rv2242,Rv2250c,Rv2258c,Rv2282c,Rv2324,Rv2359,Rv2374c,Rv2478c,Rv2488c,Rv2506,Rv2595,Rv2621c,Rv2640c,Rv2642,Rv2703,Rv2710,Rv2711,Rv2720,Rv2745c,Rv2760c,Rv2779c,Rv2788,Rv2827c,Rv2884,Rv2887,Rv2912c,Rv2986c,Rv2989,Rv3050c,Rv3055,Rv3058c,Rv3060c,Rv3066,Rv3082c,Rv3095,Rv3124,Rv3133c,Rv3143,Rv3160c,Rv3164c,Rv3167c,Rv3173c,Rv3183,Rv3197A,Rv3208,Rv3219,Rv3223c,Rv3246c,Rv3249c,Rv3260c,Rv3286c,Rv3291c,Rv3295,Rv3301c,Rv3328c,Rv3334,Rv3405c,Rv3414c,Rv3416,Rv3417c,Rv3488,Rv3557c,Rv3574,Rv3583c,Rv3597c,Rv3676,Rv3681c,Rv3692,Rv3736,Rv3744,Rv3765c,Rv3830c,Rv3833,Rv3840,Rv3849,Rv3852,Rv3855,Rv3862c,Rv3911
Rv0001,0.985635143,0.998157692,0.000612193,2.92E-17,0.999994718,0.727773925,0.948989243,0.713711495,0.987860534,0.951629771,0.91986937,0.515107588,0.990239772,0.770426582,0.980697511,0.694569314,0.830319717,0.435913713,0.464397366,0.823219804,0.831512193,0.000900652,0.448726245,0.414527428,0.778550472,0.981364116,2.76E-05,0.850711772,0.948057666,0.738572198,0.963722126,0.931837646,0.910257777,0.990649405,0.877751062,0.958040172,0.957643968,0.366635186,0.98403601,0.999472501,0.271256664,0.925237223,0.045926145,0.60754166,0.999725397,0.196821768,0.999279794,0.999986508,0.400823013,0.964083034,0.30347773,0.998889861,0.999587585,0.576959099,0.960262718,0.392059717,0.302990761,0.546754883,0.943111538,0.760462108,0.857406394,0.999656657,0.899572954,0.999889049,0.687186599,0.379986445,0.972411782,0.999836315,0.999608835,0.643769781,0.764474349,0.133118981,0.136854962,0.887296377,0.873543143,0.9363663,0.790541519,0.654937399,0.832338077,0.995968316,0.794435871,0.45731718,0.25494721,0.214615495,0.999135943,0.302612962,0.801572645,0.577033917,0.203099744,0.999456661,0.979055221,0.982944441,0.924217661,0.13713038,0.986739308,0.846388046,0.443270494,0.999988364,0.984690319,0.959772766,0.640359597,0.780680269,0.999977825,0.998660929,0.737489,0.984055471,0.999348018,0.999869325,0.719635822,0.283848296,0.987741012,0.910036539,0.498123205,0.651161192,0.091413353,0.528747116,0.996842714,0.967346582,0.798076388,0.561790361,0.006256411,0.999733896,0.843569569,0.991208608,0.85538358,0.001456956,0.999473299,0.999031786,0.923512547,0.954796876,0.997225734,0.531694785,0.833505452,0.970930177,0.070030251,0.999691562,0.419968257,0.784441949,0.999775696,0.993450305,0.751207856,0.999571686,0.874153086,0.919885952,0.522968536,0.371271479,0.780110864,0.531275151,0.459435009,0.999303986,0.812629648,0.243896033,0.119578041,0.124305737,0.381326146,0.489518513,0.476418778,0.473627081,0.266391063,0.898081504,0.061104741,0.898049755,0.774005245,0.999391798,0.547642382,0.953653696,0.001000374,0.999348058,0.999974491,0.801724763,0.547206952,0.890904475,0.969956185,0.999493548,0.144817341,0.99992349,0.302680329,0.932535156,0.797289942,0.055866277,0.71473713,0.843098705,0.832772256,0.999934615,0.413773727,0.961401873,0.927591363,0.999898385,6.88E-05,0.102549933,0.990571265,0.499898307,0.517829843,0.982484515,0.871046969,0.537053208,0.999972975,0.999157361,0.882521783,0.835161908,0.434153793,0.999473323,0.998540489,0.977681704,0.003115247,0.471773094,0.876032498,0.891960759,0.009658153
Rv0002,0.999490539,0.998157692,0.49348929,0.000700791,0.999994718,0.956911922,0.608912471,0.396336957,0.945155269,0.975022388,0.664930886,0.193799394,0.980917721,0.791179696,0.902377734,0.960444152,0.705121023,0.777400766,0.700242199,0.987325306,0.933367672,0.242430482,0.041709238,0.993763363,0.910752055,0.992239709,3.48E-09,0.441518202,0.948057666,0.754630035,0.27091276,0.158873295,0.982890186,0.966642614,0.258481952,0.574420033,0.959485261,0.692198784,0.991643447,0.999472501,0.47048345,0.812147627,0.167968024,0.489337253,0.999725397,0.679051716,0.999279794,0.999986508,0.775160776,0.940286166,0.818399603,0.998889861,0.999587585,0.97311856,0.960262718,0.598360781,0.007815683,0.394878577,0.98841092,0.543304207,0.84489064,0.999656657,0.898660232,0.999889049,0.873178882,0.6541697,0.978971729,0.999836315,0.999608835,0.6090204,0.990610011,0.649848179,0.486588143,0.728078402,0.994178609,0.9363663,0.773854736,0.695136552,0.962009552,0.951019392,0.886182162,0.825294703,0.542764422,0.132508385,0.999135943,0.292670047,0.748953343,0.4041643,0.009532214,0.999456661,0.995127421,0.207901611,0.931432939,0.741279095,0.986881123,0.915566511,0.924640195,0.999226035,0.984690319,0.994193363,0.998927521,0.661133447,0.999977825,0.998660929,0.615062658,0.861066818,0.999348018,0.999869325,0.861457365,0.982578943,0.807915529,0.740003623,0.939369528,0.675793155,0.223290336,0.825901156,0.996198728,0.329224396,0.569744756,0.640541684,7.63E-07,0.999733896,0.195396871,0.997912711,0.94173955,0.822269336,0.999473299,0.999031786,0.906177133,0.849022635,0.826702756,0.521348899,0.997792383,0.968248304,0.90287433,0.999691562,0.764143012,0.823996188,0.999775696,0.963227415,0.430310191,0.999571686,0.86083272,0.63546567,0.491016744,0.97792204,0.803267459,0.877448007,0.666989941,0.999303986,0.811540891,0.270423812,0.331702436,0.0893696,0.0495488,0.894644163,0.739709833,0.901914411,0.103433728,0.890011904,0.004172787,0.697446409,0.924973563,0.999391798,0.089289592,0.953653696,0.803833262,0.999348058,0.999974491,0.9789365,0.887548942,0.845809747,0.969956185,0.999493548,0.883824866,0.99992349,0.369901509,0.709488256,0.55411573,0.004164062,0.003563316,0.682125912,0.951366444,0.999934615,0.996964157,0.936364432,0.758130303,0.999898385,0.005397876,0.895920899,0.975070928,0.747283111,0.646048654,0.540336426,0.538106286,0.218295909,0.999972975,0.999157361,0.484887428,0.997539331,0.787821621,0.999473323,0.997533672,0.867356316,1.18E-06,0.998223665,0.827179525,0.724834888,0.642286977
Rv0003,0.996363877,0.924217609,0.304153919,3.75E-06,0.999994718,0.889855805,0.822956573,0.142381883,0.985283349,0.966310284,0.536768507,3.47E-09,0.991123416,0.73414534,0.937013252,0.850660907,0.88767967,0.586771148,0.940435164,0.259598215,0.86256042,0.835553251,0.622880349,0.934393116,0.629855745,0.985567594,7.25E-14,0.458609674,0.948057666,0.944937748,0.716384992,0.017740053,0.993461066,0.866919324,0.610359823,0.948579298,0.866335645,0.780894732,0.98403601,0.999472501,0.250409007,0.929520413,0.089640182,0.934147344,0.999725397,0.342628786,0.999279794,0.999986508,0.415369455,0.958970591,0.717076105,0.998889861,0.999587585,0.224591018,0.984079814,0.531485351,0.28746062,0.956959233,0.840695051,0.517348008,0.965223427,0.999656657,0.908010446,0.999889049,0.362937607,0.413897323,0.999909493,0.999836315,0.999608835,0.811776442,0.85779044,0.150457357,0.809206986,0.247284634,0.930528368,0.955630866,0.800110553,0.739119931,0.916875555,0.961056064,0.640919104,0.442188642,0.92231957,0.995659861,0.999135943,0.603987636,0.573284272,0.920476917,0.243625098,0.999456661,0.979055221,0.208860179,0.578104857,0.315989672,0.940521134,0.642776073,0.346193523,0.999226035,0.984690319,0.99897364,0.693788506,0.691460008,0.999977825,0.998660929,0.248462726,0.991915786,0.999348018,0.999869325,0.365134696,0.888456487,0.837190569,0.941520193,0.839722574,0.124633096,0.915453858,0.135231725,0.996198728,0.833020121,0.73494445,0.202501656,8.25E-08,0.999733896,0.773550259,0.99963532,0.757972019,0.235891878,0.994821572,0.999031786,0.897722539,0.851646504,0.834492049,0.645360248,0.515017714,0.990365475,0.893295828,0.999691562,0.991302327,0.995557428,0.999775696,0.774773346,0.916410635,0.999571686,0.700242875,0.800901047,0.981974337,0.611392798,0.832582915,0.935545342,0.993488195,0.999303986,0.898109257,0.906223729,0.214032664,0.217507979,0.783668847,0.901873423,0.614059477,0.999075631,0.585882181,0.989591653,3.20E-06,0.751846318,0.841443743,0.999391798,0.331505518,0.977187035,8.44E-06,0.999348058,0.999974491,0.153247391,0.557957606,0.819317721,0.988007911,0.34227732,0.081284414,0.99992349,0.242631379,0.90636739,0.801866362,0.003116111,2.32E-06,0.467583815,0.867683991,0.999934615,0.269905936,0.42305297,0.780557285,0.999898385,0.000189324,0.171780272,0.96222095,0.904381707,0.623908004,0.825848849,0.842466183,0.942891919,0.999972975,0.999157361,0.75398082,0.753897868,0.832720091,0.999473323,0.998540489,0.909478055,0.378797603,0.500868776,0.969837359,0.630405113,0.023761037
Rv0004,0.898793686,0.942919642,0.373638765,4.32E-15,0.999994718,0.517553087,0.945407711,0.08957393,0.9713563,0.922467777,0.389627864,6.02E-06,0.974260672,0.95692064,0.326501186,0.926015281,0.856437623,0.515023114,0.838706512,0.588275085,0.938379504,0.195691587,0.00120979,0.848766953,0.854152738,0.968953949,4.87E-12,0.43762612,0.950313577,0.767595751,0.395835471,0.828543946,0.960204397,0.978924769,0.16306008,0.831120138,0.92615265,0.230668624,0.995516637,0.999472501,0.332940817,0.840146834,0.568232061,0.657865097,0.999725397,0.66952489,0.999279794,0.999986508,0.979998047,0.939120473,0.238410413,0.998889861,0.999587585,0.618158069,0.985233501,0.506075566,0.183843627,0.76316822,0.93724962,0.566569598,0.997360864,0.999656657,0.989568506,0.999889049,0.852076052,0.544653233,0.956846087,0.999836315,0.999608835,0.946580034,0.817639218,0.24288683,0.877564031,0.376009428,0.859335551,0.9363663,0.735954589,0.476968388,0.985549965,0.850267914,0.882578475,0.609675579,0.473299364,0.962717016,0.999135943,0.166325207,0.944344829,0.940676792,0.991092145,0.999456661,0.999749049,0.379914253,0.171112383,0.876798611,0.549288598,0.831744173,0.515744901,0.999988364,0.996198624,0.948449458,0.906247045,0.761536138,0.999977825,0.998660929,0.984277578,0.985522239,0.999348018,0.999869325,0.565208121,0.877512595,0.995861591,0.838406148,0.815709273,0.435830395,0.655008392,0.639354053,0.996198728,0.890456253,0.966169234,0.410188901,0.006927118,0.999733896,0.426308364,0.995746342,0.595053569,0.177209804,0.998676661,0.999031786,0.956543437,0.887598529,0.952642818,0.714779164,0.993824554,0.970930177,0.972492543,0.999691562,0.995482453,0.888047143,0.999775696,0.92969729,0.105209482,0.999571686,0.899390167,0.631871585,0.415812263,0.628154194,0.588657425,0.709250854,0.450645516,0.999303986,0.627180198,0.536737008,0.580024395,0.108394073,0.161699442,0.968857254,0.98675028,0.863773458,0.656158689,0.814805231,0.016870935,0.921763869,0.926488825,0.999391798,0.942457705,0.954807823,0.032130433,0.999348058,0.999974491,0.888295568,0.968182567,0.725531639,0.969956185,0.999493548,0.524843817,0.99992349,0.885963511,0.587404436,0.546356507,0.000251709,0.000117714,0.861354827,0.866051721,0.999934615,0.685340424,0.965434716,0.978672897,0.999898385,0.007721471,0.380522931,0.975070928,0.571744091,0.589432048,0.990372384,0.521934553,0.63200938,0.999972975,0.999157361,0.919046069,0.991986932,0.778519864,0.999473323,0.997533672,0.824957014,0.589332545,0.955248396,0.868500633,0.424196024,0.942869024
Rv0005,0.997080516,0.986558166,0.997082478,1.00E-06,0.999994718,0.760961556,0.965137708,0.674132549,0.934489451,0.813514235,0.159989042,0.821224161,0.980917721,0.573303421,0.996074487,0.837243077,0.329192196,0.828095767,0.943197692,0.929533066,0.108373572,0.937858105,0.98272949,0.922394016,0.946597151,0.987371004,0.66983223,0.368873968,0.948057666,0.989658936,0.896253778,0.461560575,0.961263825,0.996924107,0.966139859,0.883466892,0.980465205,0.321366298,0.999678655,0.999472501,0.657035276,0.967085421,0.129416522,0.79622093,0.999725397,0.932787592,0.999279794,0.999986508,0.784381119,0.984671932,0.876375109,0.998889861,0.999587585,0.565553369,0.992247093,0.441158177,0.18948894,0.565464493,0.943111538,0.009044643,0.721005961,0.999656657,0.93733131,0.999889049,0.42964856,0.578765286,0.969545628,0.999836315,0.999608835,0.700826864,0.952927086,0.415154047,0.71766421,0.207830263,0.820912244,0.9363663,0.85683984,0.860725219,0.962988478,0.970819064,0.953041588,0.376669489,0.091355066,0.297575805,0.999135943,0.797667551,0.402682845,0.414237672,0.64568072,0.999456661,0.984155508,0.835865273,0.474879405,0.613715336,0.935158839,0.838914195,0.694512775,0.999226035,0.984690319,0.800055152,0.812246023,0.928500994,0.999977825,0.998660929,0.786390166,0.916360229,0.999348018,0.999869325,0.675100297,0.937082319,0.938396759,0.978109675,0.725913593,0.279457819,0.986061643,0.727579075,0.99851148,0.768240491,0.977240363,0.726220286,0.489081497,0.999733896,0.852214565,0.991208608,0.533320067,0.2203918,0.999473299,0.999031786,0.956543437,0.937592162,0.986614848,0.951491338,0.981380793,0.984009267,0.994502996,0.999691562,0.83619403,0.925447566,0.999775696,0.999443378,0.972947118,0.999571686,0.999975281,0.915953246,0.288099393,0.881195695,0.852259241,0.822512434,0.931626032,0.999303986,0.732167645,0.474285934,0.697573387,0.817811888,0.705731215,0.719235115,0.997807418,0.949850422,0.90851833,0.980850985,0.926812518,0.806291144,0.99405163,0.999391798,0.785157627,0.953653696,0.164974282,0.999348058,0.999974491,0.97814349,0.88218868,0.878625773,0.997373899,0.999493548,0.584440456,0.99992349,0.977191819,0.855069382,0.947186366,0.1921884,0.41049398,0.934422939,0.986384225,0.999934615,0.5360364,0.995712313,0.817831041,0.999898385,0.665512949,0.607337488,0.96222095,0.789709431,0.940992451,0.998801427,0.915323117,0.999693889,0.999972975,0.999157361,0.976535676,0.786316756,0.648068351,0.999473323,0.997533672,0.983232665,0.089017761,0.370544387,0.994532017,0.965727485,0.162737043
Rv0006,0.944203836,0.943994211,0.8340727,1.81E-19,0.999994718,0.734670741,0.773878604,0.729305815,0.987860534,0.886339498,0.073038563,0.577420741,0.996402114,0.454816338,0.990280466,0.872141426,0.723125276,0.385983102,0.934569153,0.937036977,0.068165733,0.51454066,0.617219145,0.986909777,0.994086704,0.97298605,0.529676689,0.714120202,0.948057666,0.957714942,0.817684033,0.463271215,0.96603659,0.995675399,0.862061288,0.984402444,0.988218292,0.217106235,0.991643447,0.999472501,0.653975233,0.849007791,0.107518101,0.717226649,0.999725397,0.885980508,0.999279794,0.999986508,0.997711247,0.936902411,0.811205655,0.998889861,0.999587585,0.754057193,0.990886732,0.346047687,0.293979725,0.633003461,0.962946796,0.006434084,0.744413253,0.999656657,0.934198631,0.999889049,0.499780713,0.578765286,0.956846087,0.999836315,0.999608835,0.823416666,0.989711456,0.430180446,0.675694641,0.225914721,0.87435811,0.9363663,0.79682283,0.808263421,0.97823705,0.847460602,0.919564297,0.243096334,0.025849437,0.380914124,0.999135943,0.860155376,0.607618938,0.378417113,0.300925352,0.999456661,0.981653576,0.745811811,0.611100012,0.361951962,0.896769368,0.780103067,0.470202515,0.999226035,0.984690319,0.85388379,0.948138426,0.98446982,0.999977825,0.998660929,0.841723703,0.954301991,0.999348018,0.999869325,0.699722516,0.911171818,0.991654108,0.900941569,0.702980279,0.356143552,0.876814818,0.769482905,0.996295411,0.80472811,0.833036694,0.975974378,0.371567849,0.999733896,0.434827662,0.991208608,0.832257446,0.093659399,0.994821572,0.999031786,0.996577178,0.967048285,0.493831898,0.965067002,0.835264581,0.978301786,0.994202206,0.999691562,0.83619403,0.894994084,0.999775696,0.953813129,0.582538646,0.999571686,0.998786207,0.872330171,0.34953034,0.872650837,0.653179486,0.761864045,0.994889394,0.999303986,0.730608554,0.521621867,0.973772704,0.654104839,0.505992243,0.859587856,0.929742608,0.971270981,0.892981599,0.899238789,0.697079766,0.745471326,0.891621949,0.999391798,0.75278669,0.953653696,0.499342591,0.999348058,0.999974491,0.633530746,0.891610851,0.850586329,0.998662595,0.999493548,0.877052159,0.99992349,0.983322228,0.850870229,0.997072139,0.111156703,0.346733148,0.937480736,0.96682574,0.999934615,0.539898768,0.994087875,0.858590259,0.999898385,0.994490694,0.171296549,0.985174624,0.723113336,0.779462281,0.992898558,0.572800778,0.81355374,0.999972975,0.999157361,0.976535676,0.936684349,0.727241385,0.999473323,0.998540489,0.981528639,0.011248842,0.833659753,0.970884618,0.521203161,0.517124376
Rv0007,0.999943875,0.996556748,0.352753286,3.57E-06,0.999994718,0.99807793,0.957768709,0.946563746,0.985283349,0.821639433,0.139063076,0.069297736,0.985856604,0.259135909,0.992731751,0.893380948,0.846363671,0.465500341,0.997648441,0.764192599,0.98461441,0.31179201,0.445674455,0.994158136,0.919361194,0.991335854,0.788426307,0.855095368,0.990143369,0.607530143,0.79795424,0.920379953,0.959476251,0.940551833,0.013983607,0.908053317,0.894273086,0.969883973,0.991643447,0.999472501,0.649484192,0.953811756,0.079213616,0.953904384,0.999725397,0.581263708,0.999279794,0.999986508,0.992826473,0.951168145,0.528953831,0.998889861,0.999587585,0.80816602,0.960262718,0.701619435,0.798992609,0.64666985,0.974640592,0.228716631,0.964515492,0.999656657,0.944047788,0.999889049,0.800939363,0.976874405,0.999239243,0.999836315,0.999608835,0.917013813,0.914532453,0.914378934,0.781946799,0.208497261,0.865323559,0.9363663,0.946571627,0.765165271,0.945301587,0.414535986,0.903105328,0.424307153,0.390262651,0.279808451,0.999135943,0.726266338,0.586410008,0.339115413,0.884382104,0.999456661,0.986056504,0.960547596,0.95691425,0.935738964,0.944401353,0.897207851,0.769941738,0.999226035,0.984690319,0.751251958,0.945353244,0.913975817,0.999977825,0.998660929,0.94830356,0.715706324,0.999348018,0.88355508,0.422830296,0.957737936,0.837190569,0.956571313,0.75571004,0.363198046,0.883759083,0.926005345,0.996295411,0.767020841,0.476872499,0.851959235,0.814927771,0.999733896,0.697948588,0.991208608,0.211864532,0.005763102,0.994821572,0.999031786,0.98561327,0.849880612,0.952642818,0.41633673,0.637888939,0.986505222,0.895096496,0.999691562,0.924309886,0.775009147,0.999775696,0.922649323,0.528760925,0.999571686,0.933413633,0.90866939,0.927115514,0.571022063,0.93707649,0.8600142,0.728287593,0.999303986,0.954695752,0.862121745,0.286969008,0.205933958,0.696002993,0.58403174,0.961526382,0.990508343,0.648448102,0.940264783,0.534607838,0.919642257,0.979797463,0.999391798,0.208221836,0.953653696,0.980086735,0.999348058,0.999974491,0.644267414,0.961426346,0.99337011,0.988030927,0.999493548,0.654038204,0.99992349,0.404800879,0.798776973,0.179744411,0.243152206,0.813017454,0.817207229,0.907408031,0.999934615,0.519282024,0.981592505,0.85541639,0.999898385,0.445647198,0.668272949,0.96222095,0.989054042,0.61173393,0.99062486,0.967257161,0.901015795,0.999972975,0.999157361,0.989078708,0.948488797,0.39299234,0.999473323,0.998540489,0.9422591,0.767991388,0.892543306,0.951668004,0.981312405,0.61947158
Rv0008c,0.999490539,0.878362064,0.741687212,1.71E-09,0.999994718,0.801977871,0.953460823,0.920330687,0.995169503,0.879663604,0.2866805,0.002497146,0.992226905,0.818721212,0.966604278,0.929767326,0.292153043,0.863740821,0.174874085,0.980096329,0.357450451,0.005164818,0.929021608,0.733057449,0.925110409,0.991706814,0.308987871,0.969551233,0.948057666,0.269756458,0.354522124,0.560522235,0.975430303,0.880077217,0.419831887,0.344303399,0.659889785,0.175999574,0.98403601,0.999472501,0.994441054,0.641977543,0.186710271,0.56458062,0.999725397,0.975718881,0.999279794,0.999986508,0.963117683,0.996110522,0.103023161,0.998889861,0.999587585,0.652489576,0.960262718,0.778162476,0.02874503,0.108117398,0.98226012,2.45E-10,0.898014483,0.999656657,0.94472709,0.999889049,0.642769485,0.893298524,0.982714447,0.999836315,0.999608835,0.9581847,0.942529355,0.80941483,0.484399476,0.593066149,0.794366,0.9363663,0.932884229,0.99911924,0.77717679,0.931202984,0.571813909,0.899400022,0.37606193,0.864989574,0.999135943,0.121761645,0.821706689,0.934882691,0.019912195,0.999456661,0.979055221,0.385115047,0.670170193,0.569805131,0.965829416,0.885449556,0.980678552,0.999226035,0.992651683,0.868248865,0.944728701,0.950375287,0.999977825,0.998660929,0.821728571,0.933264824,0.999348018,0.999869325,0.180858884,0.829974132,0.945126364,0.971029225,0.810426103,0.313716,0.135666658,0.95449738,0.996198728,0.365676756,0.912624282,0.274637533,0.480227672,0.999733896,0.620280007,0.991804607,0.911350785,0.637723335,0.999473299,0.999031786,0.956543437,0.994909004,0.388291911,0.933154887,0.77094578,0.970930177,0.903772446,0.999691562,0.271793448,0.865473141,0.999775696,0.832351422,0.243339688,0.999571686,0.973091141,0.698909934,0.336162159,0.726920005,0.969802305,0.339794881,0.878236517,0.999303986,0.909467583,0.174556811,0.489982822,0.865368043,0.017382623,0.685234732,0.668677602,0.920745752,0.013593701,0.554977268,0.738360312,0.573944412,0.958339802,0.999391798,0.145737917,0.960731154,0.84245859,0.999348058,0.999974491,0.825942711,0.311177293,0.747519529,0.969956185,0.999493548,0.339665584,0.99992349,0.005941516,0.979241095,0.956611647,0.041928726,0.700056828,0.484675572,0.679203697,0.999934615,0.82660822,0.95188111,0.786152451,0.999898385,0.002945016,0.978017732,0.96222095,0.094853533,0.065535996,0.99731997,0.737068111,0.894844421,0.999972975,0.999157361,0.964214423,0.850305693,0.4947948,0.999473323,0.997533672,0.875695273,0.296293222,0.76336939,0.894223752,0.946997925,0.897172207
Rv0009,0.999943875,0.966700608,0.785620047,0.408407135,0.999994718,0.994033611,0.705425988,0.96361778,0.992683654,0.879049959,0.124396497,0.001014237,0.98478357,0.747792323,0.905815562,0.916427654,0.650853293,0.244428493,0.633456641,0.977604682,0.064277565,0.713053664,0.018839927,0.825873497,0.886620561,0.983518495,0.421934678,0.575538528,0.9611288,0.932917997,0.926243549,0.469389614,0.922443004,0.936803848,0.604832742,0.983875475,0.854752056,0.5195879,0.98403601,0.999472501,0.549767908,0.885292033,0.548744763,0.60585032,0.999725397,0.732365735,0.999279794,0.999986508,0.699607907,0.936902411,0.867543335,0.998889861,0.999587585,0.801451398,0.960262718,0.86278674,0.174882664,0.783064949,0.997601478,1.06E-08,0.856902446,0.999656657,0.930287338,0.999889049,0.496929403,0.800554975,0.985956191,0.999836315,0.999608835,0.96095487,0.910441847,0.207312274,0.927685921,0.077343161,0.934704297,0.990015536,0.735954589,0.848456296,0.828612497,0.608726837,0.423300908,0.649382166,0.744637198,0.920419486,0.999135943,0.923218339,0.504701138,0.203470658,0.275747626,0.999456661,0.97613127,0.862857017,0.992684332,0.78759178,0.892474323,0.934757937,0.836467758,0.999226035,0.996096966,0.948449458,0.816279985,0.959232217,0.999977825,0.998660929,0.963354476,0.934868098,0.999348018,0.999869325,0.914279609,0.937889519,0.891577477,0.940730664,0.840352251,0.532495123,0.559470823,0.931692849,0.996198728,0.855729081,0.551235834,0.714315139,0.9867738,0.999733896,0.986847167,0.991208608,0.97308748,0.929713389,0.994821572,0.999031786,0.915283464,0.245375718,0.619635441,0.123831312,0.645813367,0.972065341,0.959901137,0.999691562,0.891009252,0.760065196,0.999775696,0.850374957,0.936968899,0.999571686,0.884288769,0.884269273,0.784176418,0.891349261,0.815171378,0.93063233,0.748997597,0.999303986,0.795449251,0.924034898,0.174031545,0.042082985,0.56741549,0.858995067,0.824566209,0.775549043,0.943971696,0.929613305,0.645021077,0.860926026,0.410267798,0.999391798,0.628052895,0.957724282,0.131913858,0.999348058,0.999974491,0.290401673,0.979637065,0.874238243,0.969956185,0.999493548,0.747226336,0.99992349,0.88994422,0.68152154,0.679878593,0.715133679,0.900930267,0.620434424,0.746098614,0.999934615,0.887919584,0.971297915,0.811404332,0.999898385,0.111494851,0.168289325,0.993637056,0.886659527,0.314920571,0.982484515,0.920636566,0.985184318,0.999972975,0.999157361,0.976535676,0.997539331,0.807262873,0.999473323,0.998540489,0.989874853,0.494042817,0.869125473,0.943810326,0.270323716,0.966916863
Rv0010c,0.969003692,0.996556748,0.841292839,0.040098372,0.999994718,0.843241585,0.852860819,0.89699175,0.981262642,0.924384944,0.449347475,0.308252846,0.983086453,0.817803363,0.907589949,0.86189852,0.528609115,0.145245976,0.793109088,0.976917748,0.19139132,0.75844744,0.152704029,0.504885308,0.918849102,0.932545124,0.442985048,0.254488352,0.97752913,0.695075162,0.099490812,0.657612429,0.995994291,0.994072115,0.803627322,0.768843189,0.94494097,0.762918963,0.98403601,0.999472501,0.081465152,0.655662158,0.630971649,0.286465842,0.999725397,0.862734459,0.999279794,0.999986508,0.703443881,0.962102022,0.333672868,0.998889861,0.999587585,0.89274189,0.960262718,0.804725005,0.580776173,0.529987332,0.93724962,0.021010642,0.634079021,0.999656657,0.934198631,0.999889049,0.407082068,0.806766669,0.956846087,0.999836315,0.999608835,0.834890062,0.958413,0.327186553,0.99729074,0.138189492,0.825717575,0.9363663,0.866304364,0.973518216,0.891162067,0.223544679,0.840334953,0.959079228,0.664234607,0.919795328,0.999135943,0.54941878,0.039197666,0.878599995,0.559837193,0.999456661,0.979055221,0.794977805,0.803665683,0.698854771,0.859676173,0.894387462,0.923456147,0.999226035,0.985448063,0.601584757,0.817091064,0.908492318,0.999977825,0.998660929,0.762671874,0.928599548,0.999348018,0.999869325,0.224983234,0.558582877,0.905562061,0.733948547,0.774508709,0.770979276,0.933586549,0.833664298,0.996295411,0.39038916,0.603491251,0.786351745,0.286776725,0.999733896,0.785135513,0.991208608,0.67727381,0.731029198,0.999473299,0.999031786,0.897722539,0.966692446,0.103536157,0.973467402,0.852181235,0.978301786,0.875515152,0.999691562,0.999680671,0.951077201,0.999775696,0.965554782,0.629904127,0.999571686,0.822691297,0.900956579,0.317214048,0.207401819,0.639143907,0.336401595,0.989113158,0.999303986,0.671811352,0.074787805,0.56983772,0.868316127,0.008843663,0.51528428,0.676808506,0.635352933,0.81174854,0.937321784,0.399067803,0.642580735,0.647812278,0.999391798,0.095883477,0.953653696,0.600594607,0.999348058,0.999974491,0.726257607,0.87983239,0.772582767,0.988030927,0.999493548,0.086525074,0.99992349,0.919227201,0.991639576,0.717300783,0.179069965,0.308567164,0.79504582,0.697387023,0.999934615,0.479873624,0.961130165,0.731051318,0.999898385,0.922361516,0.054294806,0.96222095,0.362590809,0.053715347,0.982484515,0.405769606,0.946187455,0.999972975,0.999157361,0.946447136,0.898920772,0.654439153,0.999473323,0.998540489,0.96486952,0.077169923,0.466412278,0.882742869,0.97608873,0.04672457
