msm.new.ref.locus.tag,msm.locus.tag,mtb.locus.tag,mtb.gene.name,fident,alnlen,mismatch,gapopen,qstart,qend,tstart,evalue,bits
LJ00_RS24840,MSMEG_5081,Rv1211,NA,1,55,0,0,1,55,21,4.53E-32,113
LJ00_RS06900,MSMEG_1398,Rv0682,rpsL,0.991,123,1,0,1,123,1,6.40E-78,249
LJ00_RS07810,MSMEG_1582,Rv3418c,groES,0.99,100,1,0,1,100,1,4.36E-62,202
LJ00_RS07500,MSMEG_1519,Rv3462c,infA,0.986,73,1,0,1,73,1,2.88E-45,152
LJ00_RS29730,MSMEG_6077,Rv3583c,NA,0.981,162,3,0,1,162,1,3.87E-102,321
LJ00_RS07085,MSMEG_1435,Rv0700,rpsJ,0.98,101,2,0,1,101,1,1.86E-63,206
LJ00_RS07110,MSMEG_1440,Rv0705,rpsS,0.978,93,2,0,1,93,1,1.69E-60,197
LJ00_RS30280,MSMEG_6189,Rv3676,crp,0.977,224,5,0,1,224,1,1.64E-142,441
LJ00_RS07505,MSMEG_1520,Rv3461c,rpmJ,0.972,37,1,0,1,37,1,2.35E-22,84
LJ00_RS22820,MSMEG_4671,Rv2457c,clpX,0.971,426,12,0,1,426,1,2.46E-274,833
LJ00_RS09250,MSMEG_1874,Rv3246c,mtrA,0.969,228,7,0,1,228,1,3.64E-144,446
LJ00_RS07230,MSMEG_1465,Rv0714,rplN,0.967,122,4,0,1,122,1,8.61E-74,237
LJ00_RS09475,MSMEG_1919,Rv3219,whiB1,0.964,84,3,0,1,84,1,8.91E-55,180
LJ00_RS07250,MSMEG_1469,Rv0718,rpsH,0.962,132,5,0,1,132,1,3.15E-81,259
LJ00_RS06905,MSMEG_1399,Rv0683,rpsG,0.961,156,6,0,1,156,1,1.92E-98,310
LJ00_RS15000,MSMEG_3050,Rv1388,mihF,0.96,102,4,0,1,102,86,8.30E-58,190
LJ00_RS12005,MSMEG_2443,Rv2901c,NA,0.96,101,4,0,1,101,1,8.34E-64,207
LJ00_RS06915,MSMEG_1401,Rv0685,tuf,0.959,396,16,0,1,396,1,6.43E-257,781
LJ00_RS29805,MSMEG_6091,Rv3596c,clpC1,0.953,843,40,0,1,843,1,0,1598
LJ00_RS06645,MSMEG_1346,Rv0640,rplK,0.95,142,7,0,1,142,1,1.41E-86,275
LJ00_RS13565,MSMEG_2763,Rv2699c,NA,0.95,100,5,0,1,100,1,1.19E-59,195
LJ00_RS11970,MSMEG_2436,Rv2908c,NA,0.95,80,4,0,1,80,1,1.49E-47,159
