bayes,locus
0.3611111111111111,Rv0024
0.29850746268656714,Rv0031-bioF2
0.2777777777777778,Rv0045c
0.32098765432098764,Rv0063
0.273972602739726,Rv0090
0.328125,ephF
0.3150684931506849,Rv0176
0.26881720430107525,PE_PGRS3-PE_PGRS4
0.3064516129032258,pks6
0.2698412698412698,Rv0420c-Rv0421c
0.275,senX3-regX3
0.20987654320987653,Rv0576
0.29411764705882354,mce2B
0.2,Rv0759c-Rv0760c
0.24691358024691357,ptrBb-emrB
0.2235294117647059,Rv0823c
0.15254237288135594,Rv0888
0.16923076923076924,Rv0927c
0.4153846153846154,Rv1042c-Rv1043c
0.30985915492957744,Rv1045
0.27906976744186046,Rv1179c-pks3
0.2647058823529412,Rv1225c
0.2,Rv1258c
0.3,mcr11
0.2898550724637681,Rv1269c
0.17333333333333334,opcA
0.24285714285714285,Rv1506c-Rv1507c
0.30158730158730157,plsB1
0.2714285714285714,impA
0.28205128205128205,Rv1730c
0.2542372881355932,Rv1775
0.24615384615384617,Rv1907c
0.15384615384615385,ctpF
0.3333333333333333,dosT
0.30158730158730157,lppJ
0.24324324324324326,Rv2081c
0.17647058823529413,Rv2148c
0.3142857142857143,Rv2264c
0.17105263157894737,mmpL9
0.2696629213483146,plcA-PPE38
0.23076923076923078,Rv2405-Rv2406c
0.26506024096385544,Rv2437
0.25333333333333335,vapB17
0.25,vapB18
0.25675675675675674,Rv2709
0.2535211267605634,Rv2823c
0.23170731707317074,cobB
0.225,Rv2862c-vapB23
0.25316455696202533,lppW-trmD
0.23214285714285715,Rv2923c
0.24675324675324675,ppsA
0.17647058823529413,Rv3428c-PPE59
0.2602739726027397,Rv3483c
0.3026315789473684,ddn-Rv3548c
0.31343283582089554,ponA2-Rv3683
0.29333333333333333,Rv3766
0.25,lipE-Rv3776
0.29850746268656714,Rv3802c-fbpD
0.32098765432098764,Rv3829c
0.27419354838709675,Rv3830c
0.2638888888888889,Rv3847
0.2608695652173913,eccC2
0.25609756097560976,dnaA-dnaN
0.2916666666666667,alaT-Rv0008c
0.20588235294117646,Rv0012
0.2191780821917808,pknB
0.28169014084507044,pknA
0.2753623188405797,fhaA-leuT
0.21875,whiB5-Rv0023
0.26865671641791045,bioF2
0.24358974358974358,fadD34
0.2692307692307692,fadD34-Rv0036c
0.21333333333333335,leuS
0.2988505747126437,dnaB-Rv0059
0.3170731707317073,Rv0061c
0.23376623376623376,Rv0067c-Rv0068
0.25925925925925924,glyA2-Rv0071
0.25757575757575757,Rv0078A
0.25,hycE-Rv0088
0.2962962962962963,Rv0088-Rv0089
0.3176470588235294,Rv0104
0.34210526315789475,hddA
0.22972972972972974,hddA-ldtA
0.24705882352941178,oxyS
0.3918918918918919,fusA2
0.16666666666666666,cyp138
0.2638888888888889,mce1D
0.27710843373493976,sigG
0.2564102564102564,Rv0185
0.26506024096385544,Rv0194
0.4406779661016949,Rv0210-pckA
0.23684210526315788,lipW
0.2716049382716049,Rv0221
0.2878787878787879,echA1
0.2112676056338028,Rv0223c
0.3392857142857143,Rv0226c
0.2465753424657534,aftD
0.2,Rv0245
0.35443037974683544,nirB
0.24050632911392406,Rv0258c
0.16071428571428573,fadD2
0.2028985507246377,vapB25
0.19718309859154928,eccD3
0.35064935064935066,Rv0302
0.25287356321839083,Rv0311
0.30666666666666664,Rv0315
0.2926829268292683,pcp
0.2753623188405797,Rv0330c-Rv0331
0.2702702702702703,lpqJ
0.26666666666666666,Rv0376c
0.29069767441860467,Rv0380c
0.29508196721311475,Rv0398c
0.208955223880597,fadD30
0.2875,Rv0439c-groEL2
0.25396825396825395,rskA
0.28169014084507044,sigK-Rv0446c
0.3103448275862069,mmpS4-Rv0452
0.34146341463414637,Rv0452
0.29577464788732394,Rv0457c
0.2987012987012987,pcaA-Rv0470A
0.21875,mshA
0.24675324675324675,Rv0492c
0.36486486486486486,Rv0518-Rv0519c
0.2463768115942029,ccsA
0.23684210526315788,Rv0530
0.19444444444444445,galE3
0.28169014084507044,Rv0537c
0.27710843373493976,vapB3-fadD8
0.27631578947368424,Rv0565c
0.2716049382716049,Rv0575c
0.36470588235294116,Rv0585c-mce2R
0.375,yrbE2B
0.22388059701492538,mce2F
0.2,Rv0597c-vapC27
0.35294117647058826,tcrA-Rv0603
0.2682926829268293,Rv0613c
0.2638888888888889,recD
0.37333333333333335,mmaA2
0.2727272727272727,atsD
0.25,echA4
0.32098765432098764,mmpL5
0.21333333333333335,Rv0679c
0.2247191011235955,Rv0691c
0.28169014084507044,Rv0697
0.30158730158730157,Rv0699
0.3333333333333333,Rv0745
0.35135135135135137,Rv0749A-Rv0750
0.17142857142857143,phoP
0.32051282051282054,aldA
0.27941176470588236,purD
0.20270270270270271,ggtA
0.25,Rv0775
0.31343283582089554,cpsY
0.2631578947368421,purF
0.25,sseC2
0.2375,Rv0825c
0.225,narL
0.2923076923076923,pdc-Rv0854
0.2716049382716049,far
0.2619047619047619,dapC
0.26582278481012656,Rv0874c
0.3188405797101449,Rv0890c
0.203125,Rv0893c
0.2222222222222222,Rv0893c-Rv0894
0.21621621621621623,Rv0907
0.2857142857142857,ctpE
0.27631578947368424,PE7-betP
0.27692307692307694,Rv0927c-pstS3
0.125,Rv0959
0.25316455696202533,Rv0959-vapB9
0.328125,Rv0964c-Rv0965c
0.2876712328767123,PE_PGRS18-mprA
0.2318840579710145,mprB-pepD
0.24324324324324326,Rv0987
0.3194444444444444,Rv0988
0.22727272727272727,Rv0991c-Rv0992c
0.29577464788732394,rimJ
0.2702702702702703,eno
0.23880597014925373,kdpE
0.3088235294117647,Rv1046c
0.31343283582089554,Rv1048c
0.1864406779661017,mpr5-Rv1052
0.3620689655172414,fadD14
0.2112676056338028,Rv1063c-lpqV
0.24324324324324326,Rv1072-Rv1073
0.24615384615384617,lipU
0.2714285714285714,Rv1087A
0.2711864406779661,celA2b
0.3283582089552239,MTS0858-glyA1
0.19230769230769232,Rv1136-Rv1137c
0.3333333333333333,Rv1152
